Table Name,Column Name,Description,Legacy Equivalence,Calculation Logic,Data Type,Domain Category,Source,,
effort_profile,effort_score,The numerical representation of drive and work intensity.,Not in source,0–100 ordinal scale,integer,Observations,3,,
performance_outcome,balance_index,A latent balance score representing the equilibrium between drive and letting go.,Not in source,100 - abs(effort_score - surrender_score),integer,Clinical Events,3,,
performance_outcome,success_label,A binary classification target indicating achievement of goals.,Not in source,Deterministic based on balance_index thresholds,boolean,Clinical Events,3,,
performance_outcome,burnout_flag,A stochastic emergent outcome identifying high-effort/low-surrender states.,Not in source,Classification label (1/0) derived from effort/surrender variance,boolean,Clinical Events,3,,
daily_activity_logs,deep_work_hours,Granular temporal data capturing high-intensity focus periods.,Not in source,Temporal measurement in hours,float,Encounters,3,,
behavior_patterns,pattern_id,A redundant composite key used in the flow table to identify specific behavioral sets.,Not in source,Auto-incrementing surrogate key,integer,Observations,3,,
environment_factors,stress_level,A measure of external factors categorized by degrees of severity.,Not in source,0-100 ordinal scale (degrees of awful),integer,Observations,3,,
fact_encounters_daily,stress_level,High-frequency measurement of mental state anchored to previous states and latent baseline traits.,Not in source,Statistical random walks using np.random.normal logic.,Continuous (0-100),Encounters,5,,
fact_encounters_daily,focus_score,High-frequency measurement of mental focus modeled for longitudinal analysis.,Not in source,Statistical random walks using np.random.normal logic.,Continuous (0-100),Encounters,5,,
fact_clinical_events,burnout_risk,Probabilistic risk of an emergent burnout event based on latent balance degradation.,Not in source,"max(0.0, (40 - latent_balance) / 100.0)",Continuous (0-1),Clinical Events,5,,
fact_clinical_events,latent_balance,Hidden state driving the probability of outcomes without guaranteeing them.,Not in source,100 - \,effort - cognitive_flexibility\,,Continuous (0-100),Clinical Events,5
dim_concept_dictionary,clinical_scale_mapping,Interoperability layer for standardized clinical scales such as SNOMED or LOINC.,Not in source,Standardized lookup table for cross-disciplinary integration.,String/Categorical,Patient Index,5,,
dim_behavioral_archetypes,baseline_traits,"Normalizes observations against user-specific baseline traits (e.g., High-Drive / Low-Flexibility).",Not in source,User-specific normalization metrics.,Categorical,Patient Index,5,,
flow_state_transitions,days_in_previous_state,"Evaluates state inertia by measuring duration a patient remains in a clinical state (Stable, At-Risk, Critical).",Not in source,Temporal distance (days) between state transitions in Markov Chain.,Integer (Days),Clinical Events,5,,
fact_observations_mental.csv,latent_balance,Hidden state representing the equilibrium between effort and acceptance.,Not in source,100 - \,effort - surrender\,,Continuous (0-100),Clinical Metrics / Latent Balance Scores,7
fact_state_transitions.csv,days_in_previous_state,Variable used to evaluate state inertia for survival analysis.,Not in source,Measurement of duration (temporal distance) in a specific Markov state.,Temporal measurement (Days),Encounters / Markov state transition models,7,,
dim_behavioral_archetypes.csv,archetype_category,"Categorizes users based on latent baseline traits (e.g., High-Drive / Low-Flexibility).",Not in source,Lookup table for normalization against user specific baselines.,String / Categorical,Patient Index / Lookup,7,,
dim_concept_dictionary.csv,clinical_definition,Standardized clinical definitions and scales (similar to SNOMED or LOINC).,Not in source,Interoperability layer for multi-center data integration.,String,Clinical Metrics / Lookup,7,,
dim_users,baseline_discipline,Initial measure of behavioral discipline.,Not in source,0-100 ordinal scale,FLOAT,Patient Index,9,,
dim_users,baseline_flexibility,Initial measure of behavioral flexibility.,Not in source,0-100 ordinal scale,FLOAT,Patient Index,9,,
fact_encounters_daily,work_hours,Total hours spent in deep work or professional activity.,Not in source,Temporal measurement (0-16),FLOAT,Encounters,9,,
fact_encounters_daily,screen_time,Total hours of digital screen exposure.,Not in source,Temporal measurement (0-16),FLOAT,Encounters,9,,
fact_observations_mental,stress_level,Metric indicating current psychological stress.,Not in source,0-100 ordinal scale,FLOAT,Observations,9,,
fact_observations_mental,focus_score,Metric indicating level of cognitive focus.,Not in source,0-100 ordinal scale,FLOAT,Observations,9,,
fact_state_transitions,previous_state,The clinical state prior to the current transition.,Not in source,"Categorical: Stable (>=60), At-Risk (40-59), Critical (<40)",VARCHAR(20),Clinical Events,9,,
fact_state_transitions,days_in_previous_state,Duration spent in the previous state for Markov modeling.,Not in source,Temporal count of days,INT,Clinical Events,9,,
dim_users,user_id,Primary identifier for patients.,hub_user_id (Inferred),Not in source,INT,Patient Index,10,,
dim_users,baseline_discipline,Baseline measure of self-discipline.,Not in source,Ordinal scale 0-100,FLOAT,Patient Index,10,,
dim_users,baseline_flexibility,Baseline measure of mental flexibility.,Not in source,Ordinal scale 0-100,FLOAT,Patient Index,10,,
fact_encounters_daily,work_hours,Total hours spent on deep work.,Not in source,Temporal measurement 0-16 hours,FLOAT,Encounters,10,,
fact_encounters_daily,screen_time,Total hours of screen time.,Not in source,Temporal measurement 0-16 hours,FLOAT,Encounters,10,,
fact_observations_mental,stress_level,Measured stress level.,Not in source,Ordinal scale 0-100,FLOAT,Observations,10,,
fact_observations_mental,focus_score,Measured focus or concentration level.,Not in source,Ordinal scale 0-100,FLOAT,Observations,10,,
fact_state_transitions,previous_state,The clinical state prior to transition.,Not in source,"Stable (>=60), At-Risk (40-59), Critical (<40)",VARCHAR(20),Clinical Events,10,,
fact_state_transitions,days_in_previous_state,Duration spent in the prior state.,Not in source,Count of days,INT,Clinical Events,10,,
fact_clinical_events,event_type,Type of sparse clinical or life shock.,Not in source,"Categorical (e.g. Burnout, Job Loss)",VARCHAR(50),Clinical Events,10,,
fact_clinical_events,severity_score,Severity of the recorded event.,Not in source,Scale 0-10,FLOAT,Clinical Events,10,,
fact_state_transitions,days_in_previous_state,Duration a participant remains in a specific clinical state before transitioning.,Not in source,"Temporal distance measurement used to calculate ""state inertia"" and critical intervention windows.",Integer (Days),Clinical Events / Flow,11,,
fact_state_transitions,new_state,"The resulting clinical state (Stable, At-Risk, or Critical) after a transition.",Not in source,"Markov Chain logic based on latent balance scores (Stable >= 60, At-Risk 40–59, Critical < 40).",String / Categorical,Clinical Events / Flow,11,,
fact_observations_mental,stress_level,Measurement of psychological strain and friction.,Not in source,0–100 ordinal scale modeled as a statistical random walk.,Continuous variable (Real),Observations / Clinical Events,11,,
dim_behavioral_archetypes,archetype_category,"Categorization of users by latent baseline traits (e.g., High-Drive / Low-Flexibility).",Not in source,Lookup logic to normalize observations against standardized clinical context.,String / Categorical,Patient Index / Dimensions,11,,
clinical_star_schema,duration_days,Time elapsed until burnout event or 90-day censoring period.,Not in source,Real-world temporal measurement (days); 90 for right-censored patients.,Integer,Encounters/Clinical Events,15,,
clinical_star_schema,event_observed,Binary indicator of whether the burnout event occurred during the observation window.,Not in source,"1 if event occurred, 0 if right-censored.",Boolean,Encounters/Clinical Events,15,,
clinical_star_schema,avg_stress_level,Standardized continuous clinical predictor of stress levels.,Not in source,0–100 ordinal scale weighted by Random Forest Gini importance (X * w_j).,Float,Observations,15,,
clinical_star_schema,baseline_discipline,A metric measuring behavioral discipline at the start of the study period.,Not in source,0–100 ordinal scale weighted by Random Forest Gini importance (X * w_j).,Float,Patient Index,15,,
clinical_star_schema,mindfulness_routine,A metric representing the adherence to mindfulness protocols.,Not in source,0–100 ordinal scale weighted by Random Forest Gini importance (X * w_j).,Float,Observations,15,,
Markov Clinical States (Flow Table),latent_balance_state,"Tracks movement between Stable, At-Risk, and Critical states.",Not in source,"Stable (>=60), At-Risk (40-60), Critical (<40)",String/Enum,Clinical Events,17,,
Sparse Clinical Shocks (Event Table),resilience_delta,"Calculation of impact from discrete, stochastic events like job loss.",Not in source,Resilience Delta calculation from Environmental Shock,Float,Clinical Events,17,,
DimConceptDictionary,scaleMax,Defines the upper bound for standardized clinical metrics.,Not in source,Static metadata definition,float,Observations,18,,
USER_PROFILE,balance_score,"Composite score determining clinical state (Stable, At-Risk, or Critical).",Not in source,"Stochastic variance, velocity, and acceleration of behavior",Integer (0-100),Patient Index,19,,
fact_state_transitions,days_in_previous_state,The number of days a patient remained in the prior state before a boundary shift occurred.,Not in source,Difference in days between current transition timestamp and the last transition timestamp.,Integer (Days),Clinical Events,26,,
fact_state_transitions,inbound_state,"The target state the patient is entering (e.g., Stable, At-Risk, Critical).",Not in source,Categorical assignment based on clinical threshold crossing.,String,Observations,26,,
fact_state_transitions,outbound_state,The previous state from which the patient transitioned.,Not in source,Previous state recorded in historical state log.,String,Observations,26,,
fact_encounters_daily,deep_work_hours,"Total hours spent in focused, cognitively demanding tasks.",Not in source,Summation of temporal measurements of focused activity per day.,Float,Encounters,User Description,,
fact_encounters_daily,screen_time,Real-world temporal measurement of device usage duration.,Not in source,Cumulative minutes or hours of logged screen activity.,Float,Encounters,User Description,,
fact_encounters_daily,state_persistence_rate,"The daily probability that a patient remains in their current clinical state (Stable, At-Risk, or Critical).",Not in source,Row-stochastic Markov transition probability P(St+1 \,St) where St+1 = St.,Decimal (0-1),Clinical Events,26,
dim_users,user_id,Unique identifier for the patient/user in the system.,Not in source,Primary Key; Unique identifier,INTEGER,Patient Index,21,,
dim_users,baseline_discipline,Static demographic trait representing baseline level of discipline.,Not in source,Extracted from baseline diagnostic,NUMERIC,Patient Index,21,,
dim_users,baseline_flexibility,Static demographic trait representing baseline cognitive flexibility.,Not in source,Extracted from baseline diagnostic,NUMERIC,Patient Index,21,,
dim_users,mindfulness_routine,Metadata regarding the user's established mindfulness habits.,Not in source,Categorical attribute,VARCHAR,Patient Index,21,,
dim_users,archetype_id,Classification ID for user behavior patterns.,Not in source,Foreign Key to dim_archetypes,INTEGER,Patient Index,21,,
fact_clinical_events,event_type,Type of clinical event recorded for the user.,Not in source,Categorical event logging; specifically 'Burnout Event',VARCHAR,Clinical Events,21,,
fact_clinical_events,event_date,The precise date and timestamp of a clinical event.,Not in source,Temporal event logging,DATE,Clinical Events,21,,
fact_observations_mental,focused_reflection_time,Temporal measurement of deep work or reflection.,Not in source,Real-world temporal measurement (hours),FLOAT,Observations,21,,
Derived Analytical View,duration_days,Calculated temporal distance from baseline to event or censoring.,Not in source,JULIANDAY(event_date) - JULIANDAY(start_date) or 90-day cap,INTEGER,Clinical Events,21,,
Derived Analytical View,event_observed,Binary indicator for survival analysis terminal event.,Not in source,CASE WHEN event_date IS NOT NULL THEN 1 ELSE 0 END,BOOLEAN,Clinical Events,21,,
fact_clinical_events,event_timestamp,The specific date and time when a stochastic outcome event was triggered.,Not in source,Logged upon successful firing of a stochastic check.,Timestamp,Clinical Events,24,,
dim_patient_state,burnout_risk,An elevated hazard probability calculated when balance drops below a threshold.,Not in source,"max(0.0, (40 - latent_balance) / 100.0)",Float (0.0-1.0),Observations,24,,
dim_behavioral_metrics,cognitive_flexibility,A behavioral precursor used to predict outcomes without target leakage.,Not in source,Organic behavioral measurement (0-100 scale),Float,Observations,24,,
dim_behavioral_metrics,reflection_time_decay,"The velocity of decay in reflection time, used as a predictive trend.",Not in source,Temporal measurement of reflection duration over time.,Float,Observations,24,,
sys_schema_version,version_id,Primary identifier for each schema version record.,Not in source,Auto-incrementing integer,INTEGER,System Metadata,27,,
sys_schema_version,version_number,"The versioning string for the database schema (e.g., v2.0.0).",Not in source,Manual input/String assignment,TEXT,System Metadata,27,,
sys_schema_version,applied_at,Timestamp indicating when the schema version was applied to the system.,Not in source,DEFAULT CURRENT_TIMESTAMP,TIMESTAMP,System Metadata,27,,
sys_orchestration_job_runs,batch_number,Unique identifier for a specific batch execution or pipeline run.,Not in source,"Generated per execution (e.g., BATCH-STUDY-2026-101)",TEXT,System Metadata,27,,
sys_orchestration_job_runs,execution_mode,The mode in which the pipeline was executed.,Not in source,"Options: ingest, ml, all",TEXT,System Metadata,27,,
sys_orchestration_job_runs,run_status,The current state of the job execution.,Not in source,"PENDING, RUNNING, COMPLETED, or FAILED",TEXT,System Metadata,27,,
sys_orchestration_job_runs,num_users,The size of the user cohort processed in the run.,Not in source,Cohort size count,INTEGER,System Metadata,27,,
sys_orchestration_events,job_run_id,Foreign key link to the job run that generated the telemetry or log event.,Not in source,Relational mapping,INTEGER,System Metadata,27,,
sys_orchestration_events,telemetry_logs,Milestone telemetry and component logs for auditing pipeline performance.,Not in source,Event logging,TEXT,System Metadata,27,,
"All Tables (dim_ , fact_ , sys_*)",created_at,Standardized timestamp recording when a row was first inserted.,Not in source,DEFAULT CURRENT_TIMESTAMP,TIMESTAMP,System Metadata,27,,
"All Tables (dim_ , fact_ , sys_*)",updated_at,Standardized timestamp recording when a row was last modified.,Not in source,AFTER UPDATE trigger (CURRENT_TIMESTAMP),TIMESTAMP,System Metadata,27,,
fact_daily_activity,deep_work_hours,Total duration of cognitively demanding tasks performed without distraction.,Not in source,Temporal measurement in hours,FLOAT,Clinical Events,25,,
fact_daily_activity,screen_time,Real-world temporal measurement of time spent on digital devices.,Not in source,Temporal measurement in hours/minutes,FLOAT,Clinical Events,25,,
fact_performance,balance_index,A latent balance score representing the equilibrium between effort and surrender.,Not in source,Mathematical formula for latent balance; continuous regression metric (0-100),FLOAT,Encounters,25,,
fact_performance,success_score,Stochastic emergent outcome representing overall achievement or performance.,Not in source,Derived from performance_outcome.csv via regression analysis,FLOAT,Observations,25,,
dim_concept_dictionary,concept_id,Primary key for the clinical dictionary lookup.,Not in source,Not in source,INT,Clinical Dictionary,9,,
dim_concept_dictionary,concept_name,Name of the clinical concept or metric.,Not in source,Not in source,VARCHAR(100),Clinical Dictionary,9,,
dim_concept_dictionary,scale_min,Minimum value for the metric scale.,Not in source,Not in source,FLOAT,Clinical Dictionary,9,,
dim_concept_dictionary,scale_max,Maximum value for the metric scale.,Not in source,Not in source,FLOAT,Clinical Dictionary,9,,
dim_concept_dictionary,clinical_definition,Detailed clinical definition of the concept.,Not in source,Not in source,TEXT,Clinical Dictionary,9,,
dim_concept_dictionary,concept_id,Primary identifier for clinical concepts.,Not in source,Not in source,INT,Clinical Dictionary,10,,
dim_concept_dictionary,concept_name,Name of the clinical concept.,Not in source,Not in source,VARCHAR(100),Clinical Dictionary,10,,
dim_concept_dictionary,clinical_definition,Textual clinical definition of the concept.,Not in source,Not in source,TEXT,Clinical Dictionary,10,,
dim_behavioral_archetypes,archetype_id,Primary identifier for behavioral archetypes.,Not in source,Not in source,INT,Behavioral Archetypes,10,,
dim_behavioral_archetypes,archetype_name,Name of the archetype.,Not in source,Not in source,VARCHAR(50),Behavioral Archetypes,10,,
dim_behavioral_archetypes,description,Description of the archetype characteristics.,Not in source,Not in source,TEXT,Behavioral Archetypes,10,,
fact_encounters_daily,encounter_id,Primary identifier for a daily encounter.,Not in source,Not in source,INT,Encounters,10,,
sys_schema_version,migration_name,Name of the migration script or process applied.,Not in source,Not in source,TEXT,System Metadata,27,,
sys_schema_version,description,Descriptive details about the schema changes or purpose.,Not in source,Not in source,TEXT,System Metadata,27,,
