pattern_id,user_id,habit_strength,habit_consistency,procrastination_score,discipline_score,addiction_score,distraction_pattern,focus_pattern,stress_pattern,coping_style,decision_style,thinking_style,learning_style,risk_behavior,emotional_pattern,social_pattern,growth_pattern,stability_index,recorded_at
27399,27399,45.9,32.9,70.6,37.3,70.0,96.6,9.5,69.4,Spiritual,Intuitive,Systems,Kinesthetic,17.9,12.1,82.5,36.5,13.1,2025-06-30
27400,27400,57.0,61.6,41.9,59.7,69.3,67.7,50.5,57.9,Problem-focused,Analytical,Critical,Visual,2.6,53.0,58.5,60.6,49.8,2025-06-30
27401,27401,10.2,28.4,68.8,27.3,90.8,97.3,4.8,55.9,Social,Behavioral,Critical,Visual,47.7,27.7,68.3,13.7,21.6,2025-06-30
27402,27402,28.9,14.9,78.6,23.9,84.4,95.7,4.4,13.4,Spiritual,Directive,Creative,Auditory,40.0,43.0,49.6,21.7,20.5,2025-06-30
27403,27403,68.1,57.2,55.7,60.3,55.0,51.5,48.3,66.4,Mixed,Behavioral,Creative,Reading/Writing,35.0,7.0,13.2,60.7,32.0,2025-06-30
27404,27404,29.4,36.9,57.0,44.7,90.3,83.1,19.8,63.2,Emotion-focused,Behavioral,Creative,Visual,73.0,56.2,86.9,53.9,46.9,2025-06-30
27405,27405,36.1,39.6,77.9,37.9,68.6,68.0,28.1,83.7,Spiritual,Intuitive,Critical,Multimodal,31.9,25.5,40.3,20.0,28.9,2025-06-30
27406,27406,34.5,36.2,65.7,40.4,78.8,77.9,19.3,64.7,Mixed,Intuitive,Linear,Auditory,23.4,24.0,55.0,39.6,27.9,2025-06-30
27407,27407,67.7,68.6,28.6,75.5,52.9,58.4,40.5,66.4,Spiritual,Conceptual,Creative,Kinesthetic,56.6,29.5,81.4,63.2,37.7,2025-06-30
27408,27408,53.4,40.3,63.6,45.2,81.8,100.0,11.0,56.9,Problem-focused,Directive,Critical,Reading/Writing,44.8,52.9,58.9,41.3,47.7,2025-06-30
27409,27409,53.2,39.9,64.5,48.6,82.3,61.8,30.8,68.9,Avoidance,Analytical,Linear,Visual,41.5,30.7,36.6,38.4,34.2,2025-06-30
27410,27410,87.3,81.4,31.4,78.6,44.0,35.3,61.2,13.8,Spiritual,Directive,Linear,Kinesthetic,3.1,51.2,36.3,70.5,65.5,2025-06-30
27411,27411,79.8,63.9,44.6,64.0,53.4,61.0,42.4,54.3,Problem-focused,Analytical,Creative,Visual,22.6,47.3,8.4,62.1,66.2,2025-06-30
27412,27412,68.2,56.2,26.6,62.3,40.0,70.0,36.5,42.8,Emotion-focused,Directive,Critical,Multimodal,26.1,24.7,22.9,71.1,48.4,2025-06-30
27413,27413,28.0,41.6,60.0,40.7,93.9,50.3,44.8,70.7,Spiritual,Behavioral,Linear,Reading/Writing,56.6,24.7,77.4,23.0,30.5,2025-06-30
27414,27414,46.6,51.9,54.2,52.8,65.6,73.6,29.3,36.4,Avoidance,Intuitive,Linear,Visual,76.4,48.2,8.8,27.2,55.3,2025-06-30
27415,27415,57.7,62.0,56.6,52.0,49.0,50.6,45.7,47.1,Avoidance,Analytical,Critical,Visual,75.0,64.8,29.2,46.1,64.5,2025-06-30
27416,27416,53.0,59.3,38.1,43.7,93.7,67.8,40.6,45.8,Mixed,Behavioral,Linear,Auditory,46.4,23.6,45.1,45.1,40.1,2025-06-30
27417,27417,33.1,33.4,53.7,39.0,77.9,59.8,31.8,54.0,Avoidance,Behavioral,Creative,Auditory,55.0,38.9,74.4,48.1,36.4,2025-06-30
27418,27418,76.7,69.1,29.5,71.1,73.3,71.7,19.8,39.3,Mixed,Analytical,Linear,Visual,8.8,29.4,86.1,43.2,44.5,2025-06-30
27419,27419,74.9,59.5,43.7,71.2,42.1,47.0,49.2,57.8,Avoidance,Analytical,Systems,Auditory,51.9,34.3,48.1,35.5,44.4,2025-06-30
27420,27420,51.0,51.0,70.7,56.6,54.3,65.8,32.8,26.4,Avoidance,Analytical,Critical,Auditory,34.2,34.4,30.7,38.1,45.2,2025-06-30
27421,27421,67.1,46.4,36.8,49.9,82.4,76.5,26.2,19.6,Social,Directive,Linear,Reading/Writing,33.4,57.4,45.0,49.9,54.0,2025-06-30
27422,27422,43.3,47.3,41.0,53.8,57.4,69.9,39.2,11.5,Problem-focused,Intuitive,Critical,Kinesthetic,48.3,28.0,49.9,37.9,40.9,2025-06-30
27423,27423,72.3,57.8,29.8,80.9,26.1,49.1,61.5,38.5,Spiritual,Conceptual,Linear,Visual,71.9,24.9,21.7,55.5,34.1,2025-06-30
27424,27424,60.9,69.8,36.0,70.6,57.6,61.8,45.8,71.5,Spiritual,Conceptual,Lateral,Multimodal,56.8,71.1,66.0,77.6,63.6,2025-06-30
27425,27425,62.4,59.7,35.4,60.6,49.5,56.0,52.9,42.8,Emotion-focused,Analytical,Critical,Reading/Writing,52.8,61.4,42.3,51.4,49.1,2025-06-30
27426,27426,63.5,76.0,30.6,71.4,32.4,63.3,37.1,44.8,Avoidance,Intuitive,Systems,Multimodal,41.9,41.9,42.8,58.6,55.3,2025-06-30
27427,27427,49.1,46.2,50.5,46.5,60.7,62.1,35.7,72.7,Problem-focused,Directive,Lateral,Kinesthetic,46.0,36.5,57.7,55.3,40.8,2025-06-30
27428,27428,44.8,49.3,59.1,47.1,67.7,79.8,23.0,40.7,Emotion-focused,Behavioral,Systems,Reading/Writing,3.9,36.7,31.4,20.6,36.8,2025-06-30
27429,27429,13.6,23.4,76.8,25.3,92.5,74.3,14.3,17.4,Spiritual,Intuitive,Creative,Kinesthetic,44.9,44.3,30.1,30.2,43.8,2025-06-30
27430,27430,74.0,71.8,51.7,65.8,61.2,59.1,53.4,48.3,Problem-focused,Behavioral,Critical,Visual,35.4,75.8,49.7,60.3,71.1,2025-06-30
27431,27431,62.1,62.1,44.3,61.8,49.1,46.5,49.9,74.4,Avoidance,Intuitive,Critical,Kinesthetic,21.2,48.6,76.6,44.8,47.1,2025-06-30
27432,27432,72.2,77.5,34.3,71.4,48.8,69.2,39.7,21.1,Mixed,Directive,Creative,Multimodal,51.3,45.9,19.9,58.0,65.8,2025-06-30
27433,27433,68.7,65.6,20.9,69.6,49.7,39.0,51.9,49.3,Avoidance,Directive,Creative,Auditory,17.3,74.5,13.0,63.1,69.5,2025-06-30
27434,27434,27.3,18.0,84.1,21.9,99.0,98.4,0.0,60.0,Problem-focused,Intuitive,Critical,Kinesthetic,35.9,47.7,34.0,25.5,22.8,2025-06-30
27435,27435,51.7,72.7,18.9,75.2,48.2,57.7,45.0,43.7,Spiritual,Intuitive,Lateral,Kinesthetic,39.4,40.7,40.2,59.8,57.1,2025-06-30
27436,27436,54.2,64.7,26.5,55.6,56.2,69.6,28.6,40.8,Spiritual,Directive,Creative,Multimodal,40.1,37.4,61.1,47.5,52.2,2025-06-30
27437,27437,42.7,54.6,72.5,50.6,83.3,61.8,34.4,43.7,Problem-focused,Behavioral,Linear,Reading/Writing,36.9,19.9,66.0,28.2,40.8,2025-06-30
27438,27438,51.6,39.0,32.1,55.4,73.4,62.6,41.9,65.6,Social,Directive,Creative,Reading/Writing,50.2,8.2,77.9,16.3,25.5,2025-06-30
27439,27439,77.1,59.5,50.3,60.2,70.3,44.1,58.1,57.9,Emotion-focused,Intuitive,Lateral,Reading/Writing,16.7,57.6,92.0,42.8,56.8,2025-06-30
27440,27440,56.4,61.9,39.3,54.4,65.8,86.4,14.1,52.9,Social,Behavioral,Lateral,Auditory,19.4,41.8,36.6,32.7,49.7,2025-06-30
27441,27441,32.8,50.5,47.7,38.5,60.9,73.0,32.0,44.8,Social,Analytical,Linear,Kinesthetic,51.5,6.1,23.7,13.8,14.6,2025-06-30
27442,27442,48.8,49.7,60.2,47.6,59.2,70.9,22.5,58.7,Spiritual,Analytical,Linear,Visual,24.4,0.0,69.9,16.6,23.8,2025-06-30
27443,27443,30.1,36.9,47.8,45.1,75.2,58.1,36.8,42.4,Avoidance,Intuitive,Creative,Multimodal,17.1,47.5,18.0,32.4,45.5,2025-06-30
27444,27444,54.5,48.4,47.7,47.8,74.3,70.3,33.8,58.5,Social,Behavioral,Critical,Reading/Writing,66.4,33.4,44.9,42.7,44.2,2025-06-30
27445,27445,50.0,53.5,47.5,52.5,78.6,42.8,49.6,42.6,Avoidance,Directive,Systems,Multimodal,18.7,45.5,9.4,42.0,52.5,2025-06-30
27446,27446,55.2,62.1,44.1,69.9,52.2,60.4,54.1,56.0,Social,Behavioral,Linear,Reading/Writing,30.8,11.1,75.2,47.5,43.6,2025-06-30
27447,27447,69.0,71.8,42.4,66.7,56.7,30.0,62.0,46.5,Avoidance,Intuitive,Systems,Reading/Writing,42.4,78.6,41.5,45.5,67.1,2025-06-30
27448,27448,24.6,45.5,53.8,37.2,56.6,74.5,22.2,56.6,Social,Conceptual,Critical,Auditory,24.9,2.2,36.8,35.5,18.5,2025-06-30
27449,27449,71.9,64.6,15.7,68.0,58.1,50.9,45.9,27.1,Spiritual,Conceptual,Critical,Kinesthetic,34.1,29.7,66.1,43.8,57.2,2025-06-30
27450,27450,73.6,79.7,37.5,75.0,43.4,62.2,43.2,55.1,Emotion-focused,Directive,Systems,Visual,64.0,48.2,84.1,61.4,61.9,2025-06-30
27451,27451,55.1,42.2,55.8,51.3,61.5,64.9,34.9,33.7,Problem-focused,Intuitive,Creative,Multimodal,16.4,37.5,54.0,28.2,38.8,2025-06-30
27452,27452,50.8,34.7,70.9,44.7,58.9,68.1,27.0,42.3,Emotion-focused,Conceptual,Critical,Multimodal,34.0,27.2,62.5,47.0,34.0,2025-06-30
27453,27453,59.7,46.6,47.4,59.3,59.3,73.8,13.3,25.6,Problem-focused,Intuitive,Systems,Auditory,22.6,36.2,54.2,62.0,39.4,2025-06-30
27454,27454,61.8,79.8,37.3,75.2,54.1,28.5,67.0,58.5,Problem-focused,Conceptual,Critical,Reading/Writing,60.7,13.5,80.4,56.3,40.6,2025-06-30
27455,27455,34.8,47.2,55.3,49.0,64.6,65.1,27.6,64.9,Mixed,Intuitive,Creative,Kinesthetic,0.0,3.9,9.5,29.7,18.3,2025-06-30
27456,27456,58.7,40.5,47.0,46.5,70.5,73.5,28.4,41.8,Avoidance,Analytical,Linear,Visual,37.7,49.0,24.8,38.9,33.6,2025-06-30
27457,27457,22.2,39.4,76.0,35.1,67.2,58.9,32.3,73.6,Problem-focused,Analytical,Systems,Reading/Writing,64.4,13.2,72.0,43.1,27.9,2025-06-30
27458,27458,4.8,32.8,74.7,29.2,79.8,97.3,14.2,36.7,Spiritual,Directive,Systems,Kinesthetic,58.1,21.9,43.9,29.9,20.6,2025-06-30
27459,27459,82.0,82.1,8.9,75.7,56.5,66.3,41.6,49.2,Problem-focused,Conceptual,Lateral,Visual,31.9,46.3,47.9,64.3,66.6,2025-06-30
27460,27460,43.5,41.8,66.0,41.8,75.2,68.4,34.2,29.2,Problem-focused,Analytical,Lateral,Kinesthetic,49.6,15.9,57.4,38.0,27.9,2025-06-30
27461,27461,50.5,41.4,64.8,46.8,58.1,54.9,52.1,31.6,Mixed,Conceptual,Lateral,Visual,33.6,40.6,60.1,48.1,49.8,2025-06-30
27462,27462,50.8,69.8,44.2,61.2,74.2,60.0,34.8,25.5,Social,Analytical,Lateral,Multimodal,44.0,52.2,39.7,47.6,57.7,2025-06-30
27463,27463,65.3,96.7,22.9,87.4,50.4,28.0,72.2,37.5,Emotion-focused,Directive,Lateral,Visual,62.3,37.2,32.6,50.2,71.8,2025-06-30
27464,27464,36.1,50.1,63.4,37.7,82.4,84.2,3.5,0.0,Mixed,Intuitive,Critical,Kinesthetic,93.7,8.6,27.6,39.9,20.6,2025-06-30
27465,27465,71.4,52.5,53.9,51.5,79.7,60.8,41.4,63.1,Mixed,Directive,Creative,Multimodal,15.7,47.9,26.5,55.4,58.4,2025-06-30
27466,27466,69.3,75.3,42.0,63.4,50.2,75.6,28.4,65.9,Emotion-focused,Conceptual,Linear,Visual,29.9,17.2,45.8,26.8,45.6,2025-06-30
27467,27467,67.0,48.8,49.1,47.4,76.1,53.2,38.5,76.2,Social,Conceptual,Linear,Multimodal,58.4,55.4,82.7,42.1,38.4,2025-06-30
27468,27468,41.1,60.4,46.5,59.0,72.4,53.6,40.7,51.9,Social,Conceptual,Creative,Reading/Writing,74.8,47.2,28.5,41.0,43.6,2025-06-30
27469,27469,46.9,58.2,54.0,53.2,68.5,71.2,34.2,73.5,Avoidance,Conceptual,Creative,Visual,24.1,26.9,55.1,41.8,39.7,2025-06-30
27470,27470,90.3,80.3,35.5,79.9,23.7,37.4,57.1,67.6,Problem-focused,Conceptual,Lateral,Multimodal,28.5,9.7,41.2,61.3,43.4,2025-06-30
27471,27471,80.2,66.5,33.3,55.4,73.8,67.8,24.0,46.9,Avoidance,Directive,Creative,Auditory,53.7,33.9,40.7,45.2,44.1,2025-06-30
27472,27472,64.3,69.1,39.4,67.1,60.0,65.9,39.2,58.9,Mixed,Directive,Critical,Auditory,31.3,58.9,41.7,45.0,52.5,2025-06-30
27473,27473,42.5,32.0,73.4,26.0,87.4,92.9,13.3,39.7,Problem-focused,Directive,Critical,Visual,25.3,3.0,28.3,20.6,24.4,2025-06-30
27474,27474,50.9,48.7,53.4,52.1,64.1,55.7,34.9,15.8,Mixed,Directive,Lateral,Auditory,17.7,23.2,64.4,52.8,58.3,2025-06-30
27475,27475,39.6,44.0,58.9,43.5,72.1,70.3,27.7,56.9,Emotion-focused,Conceptual,Linear,Visual,31.9,80.8,39.8,49.9,52.7,2025-06-30
27476,27476,65.2,54.5,39.2,57.4,74.7,63.8,36.0,58.6,Social,Intuitive,Systems,Kinesthetic,45.4,40.3,64.7,69.8,53.2,2025-06-30
27477,27477,19.8,35.8,64.8,40.1,82.5,88.2,20.9,14.5,Social,Directive,Systems,Visual,20.9,37.2,66.0,20.1,36.5,2025-06-30
27478,27478,56.2,36.3,52.5,48.9,72.5,70.5,28.3,40.6,Avoidance,Conceptual,Linear,Auditory,44.0,30.5,45.7,35.6,37.8,2025-06-30
27479,27479,74.7,65.4,50.4,77.9,38.2,31.6,68.7,63.0,Spiritual,Analytical,Linear,Multimodal,33.7,53.9,94.0,57.8,46.6,2025-06-30
27480,27480,34.2,43.2,64.9,41.8,67.4,86.2,24.9,39.5,Emotion-focused,Intuitive,Creative,Auditory,41.4,42.8,31.1,18.3,17.6,2025-06-30
27481,27481,52.4,51.1,29.8,59.4,60.3,48.7,46.8,64.9,Spiritual,Directive,Critical,Kinesthetic,49.4,28.3,51.1,40.0,39.1,2025-06-30
27482,27482,69.1,63.0,47.9,59.0,51.2,54.5,42.4,63.6,Mixed,Conceptual,Critical,Kinesthetic,56.4,0.0,31.0,53.8,29.8,2025-06-30
27483,27483,46.6,57.1,66.5,49.9,73.4,58.4,36.8,60.8,Avoidance,Behavioral,Linear,Visual,47.4,36.1,75.2,40.3,42.3,2025-06-30
27484,27484,74.4,55.1,24.8,61.0,62.4,48.6,33.3,31.9,Mixed,Intuitive,Creative,Kinesthetic,20.5,42.5,28.8,36.1,56.3,2025-06-30
27485,27485,66.0,86.7,32.4,79.6,36.1,59.3,47.2,66.5,Emotion-focused,Analytical,Creative,Multimodal,40.1,30.6,76.7,50.7,69.5,2025-06-30
27486,27486,93.4,81.7,14.1,83.0,49.6,29.6,59.9,51.4,Emotion-focused,Behavioral,Creative,Multimodal,47.6,62.6,93.3,64.1,68.6,2025-06-30
27487,27487,53.8,53.5,51.3,54.6,77.8,73.8,27.2,33.0,Problem-focused,Behavioral,Critical,Kinesthetic,16.3,35.5,41.7,55.9,42.8,2025-06-30
27488,27488,53.3,32.5,73.1,49.7,58.6,73.8,35.4,69.7,Mixed,Analytical,Lateral,Reading/Writing,18.2,12.9,34.4,27.8,18.7,2025-06-30
27489,27489,34.4,41.2,70.9,41.2,63.6,66.9,25.0,61.2,Mixed,Conceptual,Creative,Kinesthetic,49.2,15.1,19.6,29.6,24.3,2025-06-30
27490,27490,70.5,56.7,40.3,59.6,71.0,62.5,51.0,51.2,Social,Directive,Critical,Multimodal,32.2,35.5,54.4,62.7,39.8,2025-06-30
27491,27491,54.8,49.2,64.7,46.3,96.7,75.3,35.6,35.0,Spiritual,Behavioral,Critical,Auditory,11.9,29.6,70.8,44.3,42.2,2025-06-30
27492,27492,85.0,81.8,25.0,85.8,44.5,58.5,44.2,27.9,Spiritual,Intuitive,Linear,Multimodal,25.0,65.7,60.6,95.6,80.2,2025-06-30
27493,27493,65.5,89.4,32.1,72.4,60.3,50.2,37.1,45.0,Mixed,Analytical,Systems,Reading/Writing,63.0,42.4,57.6,61.6,55.3,2025-06-30
27494,27494,81.3,68.2,41.7,57.7,66.4,55.5,45.2,87.3,Spiritual,Behavioral,Creative,Visual,27.2,49.0,40.4,58.3,66.9,2025-06-30
27495,27495,28.6,30.4,76.4,25.5,82.4,81.2,0.0,54.0,Emotion-focused,Intuitive,Linear,Reading/Writing,11.7,24.9,65.6,23.2,18.0,2025-06-30
27496,27496,52.9,58.6,51.4,63.5,62.7,75.5,19.4,57.3,Spiritual,Directive,Critical,Reading/Writing,18.1,24.0,38.0,51.4,42.3,2025-06-30
27497,27497,52.9,56.8,43.9,48.1,88.6,65.0,44.5,65.0,Problem-focused,Behavioral,Systems,Multimodal,47.4,77.2,25.2,43.0,68.7,2025-06-30
27498,27498,58.1,68.6,52.0,65.0,39.8,80.8,32.7,52.3,Emotion-focused,Directive,Critical,Visual,22.5,46.4,61.5,50.0,54.1,2025-06-30
27499,27499,51.3,47.4,55.1,44.7,85.5,55.9,36.4,54.9,Problem-focused,Analytical,Linear,Auditory,42.6,52.8,74.2,42.5,49.6,2025-06-30
27500,27500,31.9,45.1,64.8,36.0,94.4,100.0,6.5,42.4,Spiritual,Analytical,Creative,Multimodal,22.4,13.3,73.1,28.1,25.6,2025-06-30
27501,27501,78.4,79.3,47.0,72.7,34.0,53.3,42.6,61.4,Avoidance,Behavioral,Systems,Auditory,56.6,19.3,53.9,39.7,39.4,2025-06-30
27502,27502,51.8,41.7,79.8,50.0,53.6,76.9,28.8,48.3,Spiritual,Analytical,Lateral,Reading/Writing,40.6,19.6,62.5,28.8,24.8,2025-06-30
27503,27503,43.6,40.0,72.2,44.0,77.9,47.0,49.5,49.5,Spiritual,Conceptual,Creative,Multimodal,25.3,34.1,80.2,49.7,40.8,2025-06-30
27504,27504,32.6,34.7,65.7,31.3,94.8,86.7,23.3,59.9,Social,Conceptual,Creative,Auditory,25.1,17.3,50.5,32.3,30.4,2025-06-30
27505,27505,52.4,66.1,42.2,64.8,47.4,68.6,33.2,82.4,Mixed,Conceptual,Creative,Reading/Writing,36.8,14.6,72.0,59.5,47.4,2025-06-30
27506,27506,33.7,44.6,83.9,36.0,100.0,70.3,15.4,53.8,Emotion-focused,Directive,Creative,Reading/Writing,29.5,46.5,58.8,51.5,26.6,2025-06-30
27507,27507,29.0,54.3,45.1,54.4,67.9,63.8,42.3,52.9,Spiritual,Conceptual,Lateral,Auditory,62.4,16.1,57.7,45.3,34.7,2025-06-30
27508,27508,65.8,61.1,47.8,67.0,65.6,56.8,50.9,17.9,Avoidance,Directive,Lateral,Auditory,36.1,24.0,3.0,58.9,48.3,2025-06-30
27509,27509,39.2,45.1,65.3,41.3,71.2,62.2,21.6,59.2,Social,Directive,Critical,Auditory,75.0,8.7,44.0,39.3,19.9,2025-06-30
27510,27510,39.1,56.8,33.3,57.8,78.2,73.8,32.1,57.1,Avoidance,Analytical,Linear,Kinesthetic,30.4,76.7,79.9,55.4,74.8,2025-06-30
27511,27511,68.7,55.8,29.2,64.9,40.7,43.3,62.4,72.3,Avoidance,Conceptual,Systems,Kinesthetic,31.8,62.1,47.7,50.1,52.7,2025-06-30
27512,27512,65.5,58.9,47.9,64.2,59.5,63.9,41.0,38.5,Mixed,Analytical,Creative,Kinesthetic,45.5,52.8,71.8,69.5,42.1,2025-06-30
27513,27513,50.1,61.4,46.1,53.8,57.6,54.5,41.8,56.5,Mixed,Intuitive,Creative,Visual,20.8,62.3,53.5,44.5,50.7,2025-06-30
27514,27514,38.5,50.9,83.6,38.9,60.3,88.8,15.1,57.6,Problem-focused,Directive,Critical,Kinesthetic,53.0,24.4,52.0,50.2,30.1,2025-06-30
27515,27515,39.4,36.8,56.4,40.3,71.0,72.7,32.0,54.1,Spiritual,Conceptual,Creative,Visual,25.4,31.5,44.0,52.1,21.3,2025-06-30
27516,27516,31.4,27.7,56.5,37.8,94.4,87.4,13.9,58.4,Mixed,Analytical,Critical,Visual,40.8,28.9,46.1,46.1,19.9,2025-06-30
27517,27517,17.0,37.3,64.8,38.9,87.0,66.8,30.8,42.6,Avoidance,Directive,Systems,Visual,7.8,43.8,50.5,49.9,29.8,2025-06-30
27518,27518,30.5,35.1,69.6,30.7,96.8,72.1,12.0,68.7,Emotion-focused,Directive,Systems,Kinesthetic,44.0,47.2,8.5,38.9,42.8,2025-06-30
27519,27519,81.6,82.3,35.6,64.7,49.8,58.4,37.6,55.0,Avoidance,Directive,Lateral,Visual,42.2,44.1,82.6,50.8,65.6,2025-06-30
27520,27520,34.7,38.7,71.3,31.9,95.8,72.9,18.6,54.9,Social,Directive,Critical,Kinesthetic,34.3,40.6,48.6,21.2,33.9,2025-06-30
27521,27521,66.8,45.9,38.4,52.7,69.5,71.8,28.6,74.1,Social,Intuitive,Lateral,Kinesthetic,35.3,33.3,31.7,65.5,44.2,2025-06-30
27522,27522,13.6,21.8,57.5,32.1,77.2,90.5,24.1,69.7,Avoidance,Conceptual,Lateral,Visual,1.3,22.9,47.2,18.4,30.8,2025-06-30
27523,27523,52.6,76.6,15.2,67.3,52.1,61.8,37.6,49.9,Mixed,Conceptual,Linear,Kinesthetic,24.0,46.4,69.8,51.7,62.4,2025-06-30
27524,27524,57.3,77.9,49.7,63.3,68.1,53.0,44.2,66.8,Spiritual,Intuitive,Creative,Auditory,48.7,14.2,50.1,34.5,44.0,2025-06-30
27525,27525,40.7,44.0,67.5,43.5,81.0,62.8,38.5,47.1,Emotion-focused,Conceptual,Creative,Auditory,7.2,38.0,53.5,37.3,40.9,2025-06-30
27526,27526,30.9,44.1,53.7,41.2,91.4,93.4,1.0,23.8,Avoidance,Intuitive,Systems,Reading/Writing,57.9,43.3,43.4,41.0,53.3,2025-06-30
27527,27527,59.5,61.6,56.5,60.5,61.4,72.0,45.0,50.3,Emotion-focused,Behavioral,Lateral,Auditory,36.7,59.0,10.4,62.3,65.8,2025-06-30
27528,27528,76.4,88.7,24.5,81.3,29.7,40.0,55.1,64.4,Problem-focused,Conceptual,Lateral,Reading/Writing,54.9,56.3,62.4,57.2,63.3,2025-06-30
27529,27529,50.0,37.9,65.5,36.8,90.2,59.0,31.3,61.1,Problem-focused,Behavioral,Linear,Auditory,84.3,7.0,69.3,27.1,16.4,2025-06-30
27530,27530,86.7,76.8,39.9,84.6,30.9,8.7,79.4,43.4,Avoidance,Analytical,Systems,Kinesthetic,28.8,44.3,27.3,49.5,56.8,2025-06-30
27531,27531,75.9,75.7,34.1,72.5,64.6,26.7,59.6,58.0,Social,Intuitive,Systems,Multimodal,5.2,59.0,21.8,48.4,69.0,2025-06-30
27532,27532,88.2,79.1,33.3,74.9,71.3,29.5,59.7,58.7,Problem-focused,Analytical,Creative,Multimodal,23.5,14.3,81.3,60.1,24.5,2025-06-30
27533,27533,48.1,53.8,19.4,58.5,58.1,50.2,54.9,72.7,Mixed,Analytical,Lateral,Visual,48.1,32.1,65.9,36.2,43.6,2025-06-30
27534,27534,43.2,29.2,77.0,39.8,68.3,76.9,29.3,95.6,Mixed,Analytical,Linear,Reading/Writing,16.2,21.8,33.6,40.0,29.3,2025-06-30
27535,27535,68.3,65.9,33.4,57.5,68.5,89.9,28.1,50.6,Problem-focused,Conceptual,Systems,Multimodal,17.4,39.4,58.3,66.1,52.0,2025-06-30
27536,27536,62.7,66.0,47.8,72.6,64.0,92.3,22.0,45.1,Problem-focused,Intuitive,Lateral,Kinesthetic,18.1,18.6,16.3,53.8,31.3,2025-06-30
27537,27537,68.5,72.4,42.2,63.7,38.3,50.1,44.3,59.0,Social,Intuitive,Lateral,Auditory,56.9,65.3,85.6,29.7,54.6,2025-06-30
27538,27538,45.5,39.5,55.7,45.3,60.8,94.6,22.2,56.5,Avoidance,Behavioral,Linear,Auditory,51.6,21.0,50.1,40.6,31.9,2025-06-30
27539,27539,100.0,95.9,31.2,81.9,49.1,18.4,70.3,56.1,Social,Intuitive,Systems,Reading/Writing,28.6,16.1,56.9,59.3,51.8,2025-06-30
27540,27540,68.5,66.8,47.5,62.3,70.0,71.1,30.9,69.1,Spiritual,Conceptual,Lateral,Kinesthetic,33.6,56.7,56.4,30.6,59.4,2025-06-30
27541,27541,28.1,18.8,74.1,32.0,71.1,90.8,19.8,20.9,Avoidance,Intuitive,Creative,Visual,19.4,55.0,58.0,37.1,28.6,2025-06-30
27542,27542,39.9,52.2,41.9,53.6,50.6,62.1,32.2,49.3,Avoidance,Behavioral,Creative,Auditory,31.7,56.5,38.1,43.4,56.3,2025-06-30
27543,27543,80.8,70.8,50.4,72.6,51.1,46.1,47.1,48.7,Avoidance,Analytical,Critical,Reading/Writing,53.8,52.0,75.5,65.1,71.1,2025-06-30
27544,27544,36.5,59.9,49.3,46.6,83.5,76.2,33.5,53.8,Social,Analytical,Creative,Kinesthetic,15.9,36.0,38.2,58.7,43.8,2025-06-30
27545,27545,84.1,79.8,31.8,75.6,50.5,39.4,65.4,65.4,Mixed,Conceptual,Lateral,Multimodal,55.8,39.8,34.8,59.2,51.2,2025-06-30
27546,27546,32.7,33.1,64.7,31.7,100.0,100.0,1.7,0.0,Problem-focused,Intuitive,Linear,Reading/Writing,58.2,69.3,38.0,42.1,50.7,2025-06-30
27547,27547,68.3,61.7,54.0,53.9,92.5,83.9,22.5,77.0,Spiritual,Analytical,Lateral,Kinesthetic,28.7,19.5,62.5,43.8,38.7,2025-06-30
27548,27548,51.0,62.5,48.0,62.5,45.9,65.3,39.1,64.1,Avoidance,Conceptual,Creative,Auditory,48.1,21.9,60.9,45.7,42.4,2025-06-30
27549,27549,76.2,56.3,50.1,54.8,54.1,98.1,12.2,33.9,Avoidance,Intuitive,Critical,Reading/Writing,46.3,41.2,42.3,36.3,42.1,2025-06-30
27550,27550,73.4,61.0,43.0,65.1,61.1,34.0,57.2,61.8,Emotion-focused,Behavioral,Linear,Auditory,35.4,50.9,54.8,56.8,56.8,2025-06-30
27551,27551,49.8,47.9,70.6,44.2,75.4,38.1,34.5,35.2,Emotion-focused,Directive,Linear,Auditory,62.8,21.4,63.7,41.3,35.8,2025-06-30
27552,27552,27.5,17.1,69.2,25.2,98.6,84.2,0.0,22.1,Problem-focused,Directive,Creative,Auditory,39.2,22.1,53.9,11.4,15.2,2025-06-30
27553,27553,9.4,29.5,64.1,28.4,86.6,97.6,10.1,36.7,Social,Conceptual,Lateral,Multimodal,26.9,22.2,64.1,45.4,31.5,2025-06-30
27554,27554,42.8,53.5,69.0,52.6,67.8,68.1,35.4,52.9,Avoidance,Behavioral,Lateral,Visual,46.4,58.6,62.6,44.2,55.7,2025-06-30
27555,27555,34.1,41.4,41.5,50.5,75.5,87.7,18.1,53.6,Social,Intuitive,Creative,Auditory,31.5,40.8,54.5,41.7,36.4,2025-06-30
27556,27556,35.6,66.9,50.1,62.1,43.7,90.0,14.7,67.0,Avoidance,Conceptual,Systems,Kinesthetic,63.5,19.2,42.4,37.9,41.5,2025-06-30
27557,27557,51.9,40.2,61.2,44.8,55.4,77.8,15.0,31.3,Problem-focused,Directive,Creative,Visual,27.4,2.9,82.9,47.1,21.6,2025-06-30
27558,27558,52.9,57.5,63.1,47.0,70.0,63.6,32.6,57.2,Avoidance,Directive,Systems,Visual,16.1,14.3,58.1,39.7,31.1,2025-06-30
