outcome_id,user_id,period,effort_score,surrender_score,balance_index,success_score,failure_score,productivity,creativity,leadership,financial_growth,career_growth,relationship_score,health_improvement,happiness_score,burnout_flag,success_label,recorded_at
5586,5586,Q1-2025,55.4,42.8,87.4,59.9,38.6,64.2,67.2,71.8,30.1,40.8,36.4,53.5,61.7,0,0,2025-12-31
5587,5587,Q2-2025,72.3,29.1,56.8,47.0,54.4,88.3,83.2,89.5,65.4,47.9,24.1,40.9,47.5,0,0,2025-12-31
5588,5588,Q2-2025,75.3,33.4,58.1,41.0,59.8,75.2,53.7,33.1,24.9,47.2,18.9,19.4,67.5,0,0,2025-12-31
5589,5589,H1-2025,71.6,25.6,54.0,54.7,43.4,78.4,62.3,48.6,4.5,51.5,34.8,28.0,72.1,1,0,2025-12-31
5590,5590,Q3-2025,47.9,26.5,78.6,65.8,41.7,42.1,12.9,55.2,26.3,51.0,0.0,40.5,40.4,0,1,2025-12-31
5591,5591,H1-2025,94.5,57.4,62.9,55.7,43.5,68.5,67.3,61.6,35.8,29.9,14.3,36.5,54.6,0,0,2025-12-31
5592,5592,H1-2025,50.9,30.4,79.5,68.4,36.5,24.9,62.4,53.4,22.9,64.8,12.9,46.9,62.9,0,1,2025-12-31
5593,5593,Q2-2025,89.9,8.1,18.2,30.4,71.8,73.3,81.2,40.4,28.6,37.9,25.7,39.1,54.1,1,0,2025-12-31
5594,5594,H1-2025,63.8,47.7,83.9,70.3,33.8,74.4,55.5,59.4,52.1,39.2,27.4,37.1,43.0,0,1,2025-12-31
5595,5595,Q2-2025,74.7,63.6,88.9,57.6,45.2,70.4,75.3,60.2,14.1,35.3,23.8,44.9,60.8,0,0,2025-12-31
5596,5596,Q4-2025,65.3,11.3,46.0,62.0,34.8,56.1,39.7,59.3,55.5,41.6,4.5,40.6,59.3,0,0,2025-12-31
5597,5597,Q2-2025,35.4,35.0,99.6,70.6,41.6,52.2,30.6,90.7,-3.0,56.6,27.2,43.5,53.9,0,1,2025-12-31
5598,5598,Q2-2025,70.4,20.2,49.8,47.7,46.8,39.1,40.3,56.9,25.0,46.9,13.3,38.5,31.2,1,0,2025-12-31
5599,5599,H1-2025,60.3,48.5,88.2,64.7,43.6,66.6,100.0,85.8,13.7,69.0,37.4,38.4,57.9,0,0,2025-12-31
5600,5600,Q3-2025,82.7,35.4,52.7,56.6,42.7,58.9,47.9,73.8,39.6,51.0,27.7,69.5,56.7,0,0,2025-12-31
5601,5601,Q1-2025,59.9,6.9,47.0,52.0,42.4,54.9,76.3,54.7,27.8,48.1,6.0,17.0,60.7,0,0,2025-12-31
5602,5602,Q4-2025,47.0,25.9,78.9,56.2,48.0,31.4,23.6,61.8,29.6,52.5,21.2,31.0,54.6,0,0,2025-12-31
5603,5603,Q3-2025,86.6,69.9,83.3,61.0,43.3,74.3,31.7,92.0,28.5,47.5,19.8,49.9,74.7,0,0,2025-12-31
5604,5604,Q2-2025,77.6,33.9,56.3,67.5,37.2,72.6,57.7,66.6,29.5,52.5,56.5,57.2,46.0,0,1,2025-12-31
5605,5605,Q3-2025,50.9,18.0,67.1,65.0,38.2,93.9,40.8,87.6,2.2,59.9,16.7,56.1,40.7,1,1,2025-12-31
5606,5606,Q2-2025,70.0,30.6,60.6,50.3,53.5,54.0,17.8,49.9,34.0,44.0,33.6,45.0,59.6,0,0,2025-12-31
5607,5607,Q3-2025,67.1,34.2,67.1,64.0,41.0,82.5,43.0,67.2,36.4,53.4,33.1,25.5,63.6,0,0,2025-12-31
5608,5608,H1-2025,63.5,56.2,92.7,69.4,31.0,82.3,21.4,77.7,26.6,51.6,25.8,52.3,36.4,0,1,2025-12-31
5609,5609,H1-2025,55.1,53.2,98.1,55.9,50.1,42.1,66.8,100.0,3.8,63.6,51.9,41.5,48.0,0,0,2025-12-31
5610,5610,Q3-2025,36.4,36.1,99.7,84.2,19.0,53.6,32.2,80.4,41.7,71.7,13.3,4.3,68.3,0,1,2025-12-31
5611,5611,Q2-2025,93.8,42.7,48.9,41.5,59.1,44.0,83.2,43.3,13.2,35.3,25.2,55.4,73.8,0,0,2025-12-31
5612,5612,Q1-2025,47.9,77.1,70.8,52.0,54.0,20.4,84.8,80.3,53.9,43.2,56.7,36.0,61.1,0,0,2025-12-31
5613,5613,Q3-2025,86.0,18.7,32.7,32.0,64.1,57.8,47.2,61.0,16.6,24.5,10.0,29.1,39.0,0,0,2025-12-31
5614,5614,Q1-2025,66.6,39.7,73.1,64.0,33.2,57.2,24.3,56.1,29.1,46.8,17.1,28.0,52.5,0,0,2025-12-31
5615,5615,Q1-2025,51.4,21.2,69.8,56.3,42.1,48.0,16.1,46.3,49.0,20.1,0.0,18.7,50.4,0,0,2025-12-31
5616,5616,Q4-2025,63.9,44.3,80.4,72.0,32.7,45.4,69.5,60.5,17.3,52.8,26.1,67.5,52.8,0,1,2025-12-31
5617,5617,Q2-2025,70.8,37.4,66.6,58.0,51.4,54.4,79.3,70.4,39.6,62.2,23.9,26.2,60.8,1,0,2025-12-31
5618,5618,H2-2025,67.1,46.8,79.7,76.0,24.6,56.5,29.1,73.5,42.6,45.5,16.5,29.0,44.4,0,1,2025-12-31
5619,5619,H1-2025,71.7,52.5,80.8,76.1,24.8,75.1,91.7,65.8,51.5,58.2,34.9,46.2,71.2,0,1,2025-12-31
5620,5620,Q3-2025,29.3,43.9,85.4,60.8,39.5,27.8,63.0,74.6,21.9,46.0,0.0,68.1,51.2,0,0,2025-12-31
5621,5621,H2-2025,100.0,22.8,22.8,16.3,75.5,49.1,40.0,48.4,6.9,6.4,14.3,39.9,46.4,1,0,2025-12-31
5622,5622,Q3-2025,52.8,1.6,48.8,58.7,36.1,56.1,31.3,63.2,13.5,52.6,29.4,50.8,55.7,0,0,2025-12-31
5623,5623,Q3-2025,66.3,24.5,58.2,43.3,50.2,36.7,10.5,78.3,20.3,31.7,36.3,57.7,66.3,0,0,2025-12-31
5624,5624,H2-2025,86.4,34.6,48.2,56.7,40.6,47.3,60.4,31.0,31.9,42.7,36.1,46.0,41.3,1,0,2025-12-31
5625,5625,Q3-2025,94.1,50.1,56.0,62.7,37.6,82.0,68.6,46.0,47.0,38.5,37.0,17.9,51.7,0,0,2025-12-31
5626,5626,Q3-2025,59.6,33.8,74.2,52.2,49.8,44.2,69.1,74.7,38.6,37.1,23.3,25.4,63.3,0,0,2025-12-31
5627,5627,Q2-2025,86.2,56.3,70.1,60.0,43.9,67.8,82.1,56.8,41.9,40.2,47.1,23.0,61.0,0,0,2025-12-31
5628,5628,Q1-2025,76.8,44.0,67.2,60.0,38.4,55.9,29.5,48.0,10.6,51.7,12.3,22.2,50.8,0,0,2025-12-31
5629,5629,H1-2025,86.5,42.1,55.6,50.5,54.0,53.0,45.4,49.8,26.8,35.0,28.0,49.4,67.6,0,0,2025-12-31
5630,5630,Q2-2025,51.2,62.5,88.7,61.7,53.0,31.1,96.3,75.1,58.3,53.6,39.9,53.1,46.5,0,0,2025-12-31
5631,5631,Q1-2025,37.5,43.0,94.5,71.3,39.6,43.3,41.8,68.3,41.0,45.0,27.2,39.7,68.5,0,1,2025-12-31
5632,5632,Q1-2025,46.7,53.0,93.7,65.0,30.2,34.2,88.1,77.4,48.8,69.8,32.6,45.9,64.6,0,1,2025-12-31
5633,5633,H2-2025,23.9,49.8,74.1,64.4,27.0,39.8,68.9,66.7,43.7,56.3,26.6,29.3,77.6,0,0,2025-12-31
5634,5634,H1-2025,19.8,40.6,79.2,58.8,54.6,53.0,54.2,83.4,15.7,41.3,19.2,7.6,69.6,0,0,2025-12-31
5635,5635,H2-2025,53.7,80.2,73.5,71.9,27.2,89.7,57.3,71.2,55.3,62.2,58.1,34.8,70.6,0,1,2025-12-31
5636,5636,Q4-2025,61.5,37.3,75.8,62.2,29.5,86.2,37.2,53.3,29.3,51.0,18.4,18.5,64.3,1,0,2025-12-31
5637,5637,Q2-2025,35.9,68.0,67.9,48.1,46.2,43.6,67.6,57.9,13.8,42.9,41.7,85.1,62.1,0,0,2025-12-31
5638,5638,H2-2025,56.8,45.0,88.2,67.8,31.1,55.2,43.2,88.4,25.0,75.8,26.9,35.3,38.0,0,1,2025-12-31
5639,5639,Q3-2025,84.9,47.3,62.4,54.6,53.3,74.7,66.4,82.7,0.3,51.0,40.0,68.7,83.1,0,0,2025-12-31
5640,5640,Q3-2025,43.1,37.1,94.0,69.0,28.8,44.1,40.8,66.2,29.8,63.1,45.2,15.3,60.9,0,1,2025-12-31
5641,5641,H2-2025,32.1,27.0,94.9,67.8,36.4,67.0,71.8,69.3,22.0,38.7,7.4,35.9,62.7,0,1,2025-12-31
5642,5642,Q4-2025,46.3,55.2,91.1,60.1,33.5,23.5,45.0,86.2,49.7,56.0,67.2,48.6,53.6,0,0,2025-12-31
5643,5643,Q4-2025,81.0,9.3,28.3,37.5,59.7,49.5,67.9,58.3,13.4,39.3,23.0,30.5,56.0,0,0,2025-12-31
5644,5644,Q3-2025,77.2,79.4,97.8,75.4,18.4,66.4,67.7,93.8,37.1,65.1,70.2,26.1,74.1,0,1,2025-12-31
5645,5645,Q3-2025,43.3,42.4,99.1,61.8,35.3,35.6,92.7,68.7,49.9,63.3,43.7,19.1,89.0,0,0,2025-12-31
5646,5646,Q1-2025,36.6,24.4,87.8,83.3,16.9,60.4,70.5,66.3,51.5,55.6,27.8,41.9,57.3,0,1,2025-12-31
5647,5647,Q2-2025,92.3,21.7,29.4,29.0,77.0,65.1,57.1,63.1,16.3,22.6,24.5,32.7,47.7,0,0,2025-12-31
5648,5648,Q1-2025,76.3,70.4,94.1,64.0,35.2,35.9,41.6,87.7,38.4,66.0,65.1,34.5,63.4,0,0,2025-12-31
5649,5649,H1-2025,26.1,52.9,73.2,38.0,65.4,4.7,65.0,67.8,1.5,51.0,20.9,33.4,36.7,0,0,2025-12-31
5650,5650,Q4-2025,44.0,78.2,65.8,58.9,37.4,38.1,47.0,78.6,47.3,59.9,63.3,24.0,56.6,0,0,2025-12-31
5651,5651,Q4-2025,84.8,25.6,40.8,32.9,73.6,49.4,51.3,81.2,24.5,42.8,33.2,39.7,69.2,0,0,2025-12-31
5652,5652,Q2-2025,77.4,64.7,87.3,62.9,37.0,54.6,60.1,82.1,14.7,43.2,70.0,67.7,77.8,0,0,2025-12-31
5653,5653,H2-2025,99.1,69.6,70.5,45.9,51.7,58.0,28.6,58.2,21.0,37.7,59.4,73.6,52.1,0,0,2025-12-31
5654,5654,Q1-2025,98.8,16.7,17.9,29.5,65.7,68.6,47.0,50.1,26.3,34.2,11.8,14.2,24.8,0,0,2025-12-31
5655,5655,Q1-2025,75.4,45.5,70.1,59.4,43.5,47.2,34.1,73.2,51.7,48.7,23.0,20.8,56.5,0,0,2025-12-31
5656,5656,Q1-2025,53.3,16.0,62.7,76.6,22.7,21.0,36.3,58.5,38.1,51.6,25.1,42.2,60.9,0,1,2025-12-31
5657,5657,H1-2025,56.1,9.3,53.2,37.9,53.2,43.5,84.4,60.4,13.0,25.2,25.6,32.6,73.8,0,0,2025-12-31
5658,5658,Q1-2025,85.3,48.4,63.1,51.5,42.8,31.2,78.2,45.2,28.4,35.0,32.3,24.8,59.2,0,0,2025-12-31
5659,5659,Q3-2025,75.3,32.7,57.4,56.6,33.4,53.7,44.9,59.7,27.8,66.1,32.3,35.6,56.7,0,0,2025-12-31
5660,5660,Q3-2025,51.6,43.3,91.7,64.2,32.7,59.2,100.0,84.3,38.8,62.6,45.5,34.5,49.7,0,0,2025-12-31
5661,5661,Q3-2025,65.5,63.3,97.8,66.5,32.4,39.6,25.4,67.9,24.4,58.6,47.9,38.4,86.2,0,1,2025-12-31
5662,5662,Q3-2025,71.8,28.1,56.3,32.0,62.1,41.1,15.9,59.7,21.4,24.0,14.0,55.4,49.7,0,0,2025-12-31
5663,5663,Q1-2025,69.8,48.8,79.0,68.5,26.1,52.0,79.4,76.0,44.5,49.5,55.0,29.9,52.3,0,1,2025-12-31
5664,5664,H1-2025,62.1,24.2,62.1,60.2,56.0,36.8,54.6,53.4,46.6,35.7,25.5,22.5,69.8,0,0,2025-12-31
5665,5665,H2-2025,58.4,46.8,88.4,50.7,41.3,23.3,58.5,59.4,12.5,19.9,8.2,46.3,49.6,1,0,2025-12-31
5666,5666,Q1-2025,82.3,49.5,67.2,56.7,33.8,71.3,57.7,53.9,16.4,34.0,32.8,48.0,70.9,1,0,2025-12-31
5667,5667,Q2-2025,75.8,34.1,58.3,52.8,56.7,81.4,36.4,59.2,16.4,36.2,26.4,34.5,55.3,0,0,2025-12-31
5668,5668,Q4-2025,80.0,36.4,56.4,69.4,32.5,65.2,36.0,64.5,44.2,56.3,35.1,69.3,50.4,0,1,2025-12-31
5669,5669,H1-2025,52.8,54.4,98.4,83.2,5.2,61.4,58.1,85.1,37.8,63.4,46.0,60.5,68.3,0,1,2025-12-31
5670,5670,Q4-2025,45.7,52.9,92.8,64.6,40.6,17.3,46.4,76.5,31.2,46.5,33.3,43.4,41.5,0,0,2025-12-31
5671,5671,H2-2025,43.6,25.0,81.4,81.3,23.6,51.4,67.4,51.3,38.5,60.0,12.1,32.0,32.9,0,1,2025-12-31
5672,5672,H2-2025,58.5,36.2,77.7,57.1,40.7,43.4,83.8,71.8,54.8,42.8,28.7,32.1,71.2,0,0,2025-12-31
5673,5673,H2-2025,61.4,36.9,75.5,64.1,41.9,74.0,35.3,87.0,22.9,31.1,27.6,60.5,66.2,0,0,2025-12-31
5674,5674,Q3-2025,60.5,42.8,82.3,58.2,50.6,58.4,84.3,69.5,32.1,32.1,17.1,33.8,42.8,0,0,2025-12-31
5675,5675,Q3-2025,36.9,50.8,86.1,66.3,47.8,76.2,94.2,79.0,18.6,62.9,46.2,36.9,72.1,0,1,2025-12-31
5676,5676,Q3-2025,71.6,68.8,97.2,87.0,16.1,69.0,35.9,73.8,22.2,69.5,41.8,22.4,69.5,0,1,2025-12-31
5677,5677,Q3-2025,82.5,30.8,48.3,38.3,71.8,16.7,64.2,40.9,25.8,23.9,26.8,34.2,43.3,0,0,2025-12-31
5678,5678,Q2-2025,66.0,85.2,80.8,64.9,35.1,36.2,72.5,67.8,43.5,64.4,47.5,11.6,37.5,0,0,2025-12-31
5679,5679,Q2-2025,50.6,40.2,89.6,74.8,5.2,51.3,70.3,62.0,52.2,60.0,30.2,41.9,55.9,0,1,2025-12-31
5680,5680,Q2-2025,66.5,11.1,44.6,49.8,50.0,43.1,12.1,66.5,35.4,34.7,15.0,51.7,53.5,0,0,2025-12-31
5681,5681,H2-2025,77.0,35.9,58.9,62.1,38.2,91.5,46.2,65.7,32.6,27.7,42.3,73.6,76.1,0,0,2025-12-31
5682,5682,H1-2025,42.6,57.6,85.0,74.5,32.6,36.4,53.4,73.5,22.4,72.2,39.3,68.7,88.5,0,1,2025-12-31
5683,5683,H2-2025,86.8,44.9,58.1,48.4,44.5,35.7,38.2,60.7,20.8,48.6,33.1,4.0,52.9,0,0,2025-12-31
5684,5684,Q2-2025,84.3,44.3,60.0,51.2,48.4,56.0,31.9,62.4,-8.2,43.3,21.0,70.5,59.8,0,0,2025-12-31
5685,5685,Q3-2025,23.2,57.6,65.6,70.5,28.9,43.1,59.7,79.2,54.5,63.9,42.6,30.7,46.1,0,1,2025-12-31
5686,5686,Q1-2025,85.2,48.3,63.1,44.5,60.3,48.6,71.5,68.7,2.8,25.8,36.1,13.7,41.0,0,0,2025-12-31
5687,5687,Q4-2025,78.1,52.1,74.0,57.4,34.2,96.5,68.7,48.0,33.7,39.1,36.9,33.6,71.5,0,0,2025-12-31
5688,5688,Q3-2025,33.1,40.5,92.6,54.6,43.7,43.2,60.5,57.5,7.5,61.5,29.8,8.0,72.5,0,0,2025-12-31
5689,5689,H2-2025,57.8,51.3,93.5,61.1,29.6,45.6,86.2,89.4,38.1,40.8,21.8,49.6,51.8,0,0,2025-12-31
5690,5690,Q2-2025,68.6,87.9,80.7,59.8,51.1,46.4,100.0,77.4,41.2,31.6,43.2,59.5,68.0,0,0,2025-12-31
5691,5691,Q1-2025,79.3,52.8,73.5,62.2,46.3,94.4,62.6,70.0,34.8,62.2,33.6,20.9,61.4,0,0,2025-12-31
5692,5692,Q1-2025,74.9,57.7,82.8,59.8,41.4,37.0,67.8,64.4,12.0,32.4,45.6,41.1,67.6,0,0,2025-12-31
5693,5693,Q1-2025,52.0,55.4,96.6,77.6,30.1,57.3,49.6,88.0,14.4,59.8,51.7,6.9,53.2,0,1,2025-12-31
5694,5694,H1-2025,33.3,17.9,84.6,55.6,47.9,44.9,11.1,70.9,42.0,40.6,28.6,5.6,46.4,0,0,2025-12-31
5695,5695,Q1-2025,58.3,30.0,71.7,69.8,38.6,47.0,47.2,56.4,38.6,62.8,41.5,13.5,44.6,0,1,2025-12-31
5696,5696,H2-2025,46.3,65.7,80.6,67.9,35.9,49.6,70.4,71.6,49.5,60.4,34.3,6.6,60.9,0,1,2025-12-31
5697,5697,H1-2025,96.3,42.0,45.7,38.4,58.7,49.0,36.8,61.9,14.2,4.9,44.8,41.5,55.3,0,0,2025-12-31
5698,5698,H2-2025,82.5,89.0,93.5,79.9,30.2,78.5,80.9,76.1,42.9,71.7,44.2,53.8,69.2,0,1,2025-12-31
5699,5699,Q3-2025,78.0,68.2,90.2,62.9,34.3,43.2,52.8,73.8,18.4,48.1,38.2,5.9,48.5,0,0,2025-12-31
5700,5700,H2-2025,23.9,45.0,78.9,60.8,36.6,28.7,11.2,45.7,48.9,52.2,23.5,25.3,74.8,0,0,2025-12-31
5701,5701,Q3-2025,65.2,74.4,90.8,80.9,22.4,58.3,52.8,64.3,33.8,49.9,53.3,51.0,77.0,0,1,2025-12-31
5702,5702,Q4-2025,50.7,26.6,75.9,43.9,62.1,25.6,76.8,73.2,38.0,57.0,42.6,33.4,69.7,0,0,2025-12-31
5703,5703,Q1-2025,58.4,58.3,99.9,63.2,50.3,42.0,17.5,66.7,26.2,73.5,35.4,45.6,48.9,0,0,2025-12-31
5704,5704,Q3-2025,76.5,36.0,59.5,36.2,64.5,44.3,44.8,56.0,14.5,30.3,17.4,23.7,57.2,0,0,2025-12-31
5705,5705,Q3-2025,81.5,13.4,31.9,38.5,61.3,86.6,33.6,58.2,30.8,33.2,12.8,26.5,52.7,0,0,2025-12-31
5706,5706,Q2-2025,69.0,40.8,71.8,73.8,26.1,74.3,41.3,76.1,47.6,58.3,44.2,11.0,72.4,0,1,2025-12-31
5707,5707,Q4-2025,24.6,65.4,59.2,32.8,74.0,28.1,52.8,70.0,13.1,32.3,34.5,75.5,55.3,0,0,2025-12-31
5708,5708,H1-2025,59.7,30.1,70.4,63.3,52.2,46.6,72.6,82.6,51.7,51.5,7.2,25.0,81.6,0,0,2025-12-31
5709,5709,Q3-2025,76.1,38.0,61.9,59.7,37.7,55.4,41.3,84.1,45.0,43.4,20.0,34.9,52.6,0,0,2025-12-31
5710,5710,H1-2025,73.7,27.4,53.7,47.3,50.6,67.3,66.4,72.5,21.1,46.6,6.6,42.7,44.3,0,0,2025-12-31
5711,5711,Q1-2025,71.7,65.2,93.5,71.4,30.1,76.4,57.2,76.0,42.9,68.2,56.8,32.0,54.9,0,1,2025-12-31
5712,5712,Q4-2025,50.0,19.6,69.6,58.6,43.7,51.0,65.0,43.8,49.3,43.8,14.6,46.0,44.3,0,0,2025-12-31
5713,5713,Q4-2025,41.6,44.6,97.0,60.5,46.1,23.8,53.4,60.4,32.8,60.9,41.4,64.5,45.4,0,0,2025-12-31
5714,5714,Q2-2025,82.0,58.1,76.1,64.4,26.1,67.5,48.9,71.8,18.8,55.8,31.4,21.5,68.0,0,0,2025-12-31
5715,5715,H1-2025,75.1,46.3,71.2,60.7,46.1,39.3,52.8,63.9,37.1,42.2,46.0,39.9,66.8,0,0,2025-12-31
5716,5716,Q3-2025,70.0,34.1,64.1,42.9,58.6,42.1,47.2,44.9,31.7,54.4,30.2,31.2,41.6,0,0,2025-12-31
5717,5717,Q3-2025,86.9,58.1,71.2,64.2,39.7,70.6,66.1,51.5,23.1,60.5,45.4,52.4,62.9,0,0,2025-12-31
5718,5718,Q3-2025,72.4,20.8,48.4,51.6,44.5,61.7,42.7,59.5,22.7,54.4,33.1,35.2,43.3,0,0,2025-12-31
5719,5719,Q3-2025,63.0,60.3,97.3,66.0,32.6,46.5,57.5,71.7,17.4,48.2,31.7,50.2,89.2,0,1,2025-12-31
5720,5720,H1-2025,48.9,36.1,87.2,67.9,35.1,59.3,63.1,83.9,58.1,55.2,42.6,-1.7,54.6,0,1,2025-12-31
5721,5721,Q3-2025,48.3,53.9,94.4,61.9,40.8,36.8,61.9,81.7,39.9,54.7,55.7,32.5,50.9,0,0,2025-12-31
5722,5722,Q2-2025,68.1,11.6,43.5,18.7,82.4,38.1,13.6,47.7,22.3,29.3,0.0,35.9,72.9,1,0,2025-12-31
5723,5723,Q1-2025,51.9,82.8,69.1,58.3,36.4,21.0,91.7,66.3,42.6,47.2,72.8,29.5,75.2,0,0,2025-12-31
5724,5724,Q1-2025,54.0,36.7,82.7,43.6,53.6,51.4,39.2,69.5,16.7,37.9,38.2,57.3,57.1,1,0,2025-12-31
5725,5725,Q2-2025,48.8,24.7,75.9,60.2,43.1,64.5,78.2,85.4,45.6,53.2,25.6,49.5,38.8,0,0,2025-12-31
5726,5726,Q3-2025,91.4,55.1,63.7,48.6,57.5,44.7,77.3,64.8,3.7,48.8,45.0,42.0,46.3,0,0,2025-12-31
5727,5727,Q2-2025,49.0,94.8,54.2,54.7,44.1,34.7,62.8,44.2,21.1,30.0,64.7,9.3,56.5,0,0,2025-12-31
5728,5728,H2-2025,57.6,73.9,83.7,67.3,25.1,44.6,26.4,71.0,25.6,41.0,49.6,41.3,70.4,0,1,2025-12-31
5729,5729,Q2-2025,27.8,66.1,61.7,55.1,53.1,34.3,88.0,92.3,42.8,39.4,37.9,50.5,45.7,0,0,2025-12-31
5730,5730,Q2-2025,49.0,72.4,76.6,69.2,28.0,55.4,84.0,55.7,45.7,44.5,46.6,22.4,47.4,0,1,2025-12-31
5731,5731,Q1-2025,87.1,75.8,88.7,82.0,17.3,77.1,57.9,52.5,6.5,57.8,24.8,64.5,80.2,0,1,2025-12-31
5732,5732,H2-2025,62.3,50.1,87.8,82.5,12.7,92.7,58.8,79.5,61.6,51.0,29.3,26.1,51.1,0,1,2025-12-31
5733,5733,H1-2025,64.8,36.4,71.6,66.9,28.3,60.9,58.5,67.7,15.0,56.6,26.4,23.9,84.4,0,1,2025-12-31
5734,5734,H2-2025,54.8,37.9,83.1,75.8,13.5,46.5,74.2,64.5,2.4,71.8,12.9,42.1,38.7,0,1,2025-12-31
5735,5735,H2-2025,65.7,35.5,69.8,54.1,44.7,71.6,54.3,64.2,21.4,52.0,43.2,38.9,29.6,0,0,2025-12-31
5736,5736,Q1-2025,26.7,34.1,92.6,82.1,15.5,46.7,56.6,73.2,32.0,66.4,30.6,17.0,61.3,0,1,2025-12-31
5737,5737,Q4-2025,54.9,23.0,68.1,50.6,42.1,29.8,72.7,49.8,41.4,55.8,21.0,33.8,64.3,0,0,2025-12-31
5738,5738,Q2-2025,79.0,38.2,59.2,53.8,53.4,71.5,55.8,100.0,12.1,51.3,37.7,21.8,45.0,0,0,2025-12-31
5739,5739,Q1-2025,39.0,77.3,61.7,55.3,42.2,31.4,32.3,56.0,51.7,42.4,15.1,40.9,66.5,0,0,2025-12-31
5740,5740,H1-2025,100.0,22.8,22.8,31.7,60.6,52.1,32.8,47.5,13.1,41.7,19.7,36.7,68.8,0,0,2025-12-31
5741,5741,Q3-2025,59.3,29.3,70.0,47.5,47.8,15.9,24.4,81.6,-1.7,40.7,2.6,21.5,39.6,0,0,2025-12-31
5742,5742,Q2-2025,100.0,35.8,35.8,36.8,62.5,24.3,42.3,54.5,42.1,25.0,28.0,11.5,66.3,0,0,2025-12-31
5743,5743,H1-2025,53.4,26.7,73.3,78.0,19.7,54.5,72.6,73.0,28.7,42.0,44.0,50.7,57.4,0,1,2025-12-31
5744,5744,Q2-2025,80.8,58.9,78.1,57.8,35.2,74.4,65.5,65.6,36.9,31.5,37.6,48.2,58.4,0,0,2025-12-31
5745,5745,H2-2025,76.6,39.9,63.3,71.6,24.6,67.5,65.3,64.1,65.9,54.5,34.6,15.4,57.3,0,1,2025-12-31
5746,5746,H2-2025,48.2,59.8,88.4,65.3,29.7,53.3,54.4,77.8,27.0,66.4,67.8,35.3,73.4,0,1,2025-12-31
5747,5747,H1-2025,82.6,58.1,75.5,65.2,23.8,28.6,16.2,86.3,22.2,50.5,35.5,20.9,64.6,0,1,2025-12-31
5748,5748,Q3-2025,57.0,62.3,94.7,85.9,6.5,75.9,52.7,94.3,32.3,72.0,53.5,29.9,60.5,0,1,2025-12-31
5749,5749,H2-2025,33.8,28.8,95.0,57.0,46.2,1.4,64.4,87.8,36.8,62.2,28.0,21.5,53.5,0,0,2025-12-31
5750,5750,H2-2025,70.6,24.9,54.3,39.6,51.9,27.7,90.3,55.7,46.3,45.3,35.2,36.2,53.7,0,0,2025-12-31
5751,5751,Q2-2025,72.5,53.9,81.4,51.6,49.4,47.8,69.0,78.2,40.0,26.2,40.5,37.1,81.6,0,0,2025-12-31
5752,5752,H2-2025,48.5,17.5,69.0,65.1,41.5,55.9,39.3,56.8,29.6,55.6,8.6,47.5,61.7,0,1,2025-12-31
5753,5753,H2-2025,72.8,53.8,81.0,53.4,48.8,49.3,55.8,69.2,24.5,42.7,40.7,40.5,47.1,0,0,2025-12-31
5754,5754,H1-2025,23.4,58.6,64.8,65.9,35.0,35.6,51.2,50.8,29.0,26.8,44.6,25.5,79.0,0,1,2025-12-31
5755,5755,Q4-2025,76.9,46.6,69.7,76.5,14.0,86.4,100.0,82.3,71.5,73.0,34.7,25.8,63.3,0,1,2025-12-31
5756,5756,Q2-2025,58.6,27.3,68.7,50.2,51.1,23.2,26.7,68.4,43.4,49.2,25.7,27.9,66.8,1,0,2025-12-31
5757,5757,Q4-2025,74.9,13.2,38.3,54.3,47.6,80.9,67.5,58.6,11.4,41.2,29.2,32.3,48.2,0,0,2025-12-31
5758,5758,H2-2025,87.8,26.9,39.1,45.4,45.4,40.3,34.2,57.3,30.5,23.4,27.7,54.3,57.5,0,0,2025-12-31
5759,5759,H2-2025,55.9,68.1,87.8,76.3,27.7,38.4,45.7,70.1,33.4,52.6,42.6,21.7,67.1,0,1,2025-12-31
5760,5760,Q1-2025,73.6,56.7,83.1,59.2,39.6,87.8,72.2,79.6,13.9,62.1,49.9,35.3,58.4,0,0,2025-12-31
5761,5761,H2-2025,44.1,70.3,73.8,62.5,48.6,70.4,71.8,82.3,26.3,63.3,35.9,41.3,69.6,0,0,2025-12-31
5762,5762,Q3-2025,73.9,51.4,77.5,53.9,41.5,43.8,54.2,83.8,26.1,42.4,43.3,54.4,60.1,0,0,2025-12-31
5763,5763,H2-2025,74.9,53.4,78.5,46.3,47.4,41.2,76.4,78.7,12.7,39.5,32.3,6.2,74.7,1,0,2025-12-31
5764,5764,Q1-2025,80.5,41.7,61.2,62.6,36.0,72.3,69.4,66.1,47.7,53.3,17.2,43.5,40.7,0,0,2025-12-31
5765,5765,H2-2025,55.5,13.8,58.3,35.3,70.1,21.3,44.5,48.7,38.2,34.3,24.6,61.8,52.8,0,0,2025-12-31
5766,5766,H2-2025,35.2,67.0,68.2,60.4,40.2,45.5,27.4,62.0,38.9,46.1,60.5,49.2,71.2,0,0,2025-12-31
5767,5767,Q3-2025,91.6,25.2,33.6,47.1,48.5,92.0,92.9,49.6,21.3,38.2,17.3,39.2,52.3,0,0,2025-12-31
5768,5768,H1-2025,54.6,24.8,70.2,60.5,46.5,59.5,44.7,76.3,28.2,63.2,37.6,17.8,77.8,0,0,2025-12-31
