event_id,user_id,event_type,event_date,impact_score,emotional_impact,financial_impact,stress_impact,recovery_time,support_received,lesson_learned,adaptation_score,resilience_score,mindset_shift,behavioral_change,risk_taken,outcome_effect,long_term_effect,recorded_at
3013,3013,Relocation,2025-01-05,17.5,11.8,38.4,8.7,0.0,21.4,53.4,45.9,30.7,46.7,31.8,67.4,36.2,33.9,2025-02-09
3014,3014,Reconciliation,2022-09-14,-25.1,21.2,42.1,27.6,20.0,16.7,80.2,31.6,39.3,16.7,47.7,17.7,19.3,48.0,2022-10-25
3015,3015,Relocation,2022-05-17,3.1,0.0,0.2,3.5,0.0,43.6,39.8,6.3,13.6,29.8,58.0,31.4,-16.4,1.1,2022-06-16
3016,3016,Job Change,2025-07-28,6.5,0.0,31.0,17.6,0.0,17.1,56.2,29.6,59.2,45.1,54.4,32.5,44.4,51.8,2025-08-10
3017,3017,Travel,2023-09-05,31.2,20.7,-9.6,25.3,49.0,20.1,62.6,51.7,51.9,39.6,37.5,33.5,27.7,41.2,2023-12-03
3018,3018,Investment Win,2023-03-21,-45.5,52.5,6.0,36.4,39.0,15.9,48.4,23.9,11.9,31.9,84.3,43.3,-2.9,10.3,2023-04-12
3019,3019,Job Change,2025-07-01,-47.3,58.6,54.2,41.2,35.0,62.6,54.5,64.5,61.0,30.6,29.8,28.1,9.8,21.4,2025-07-17
3020,3020,Investment Win,2023-12-16,23.8,24.7,14.6,1.5,24.0,26.5,59.4,41.8,39.7,25.6,70.4,42.7,23.9,20.6,2024-01-22
3021,3021,Accident,2025-02-04,-35.3,50.1,-2.8,14.5,35.0,58.0,64.0,55.2,78.0,51.7,74.2,35.1,10.6,17.6,2025-02-13
3022,3022,Recovery,2023-08-17,31.6,21.5,-20.3,25.0,26.0,51.8,48.1,38.2,35.7,45.2,68.6,35.0,48.2,45.8,2023-10-15
3023,3023,Job Change,2023-06-15,-8.1,1.1,4.0,14.1,9.0,42.5,49.8,22.7,23.7,32.0,48.7,47.4,15.7,35.6,2023-07-18
3024,3024,Promotion,2022-12-22,1.0,0.0,28.0,2.8,3.0,60.3,55.6,41.2,48.1,57.2,46.5,21.8,-4.3,8.8,2023-03-18
3025,3025,Layoff,2025-07-04,27.0,29.5,14.6,30.5,35.0,47.0,63.9,34.8,42.4,65.4,47.0,25.8,42.9,40.9,2025-07-21
3026,3026,Bereavement,2022-08-11,-26.8,18.4,-48.8,18.5,23.0,26.9,71.4,51.3,33.2,69.5,63.0,32.8,3.8,30.4,2022-09-18
3027,3027,Promotion,2025-06-25,-50.7,54.9,65.0,51.6,47.0,71.5,59.5,40.5,56.0,37.2,47.5,34.4,6.6,28.7,2025-07-02
3028,3028,Accident,2022-08-05,10.8,0.0,-7.2,1.2,11.0,45.3,17.7,35.1,55.9,30.3,59.8,35.0,49.5,42.7,2022-09-07
3029,3029,Layoff,2022-11-24,9.8,12.9,-36.5,4.8,2.0,43.4,45.7,21.6,31.8,52.0,41.7,19.8,7.6,9.0,2023-01-31
3030,3030,Marriage,2024-05-05,10.6,16.5,-1.6,20.4,24.0,75.8,34.5,25.3,50.4,23.0,42.5,44.9,17.7,16.1,2024-06-10
3031,3031,Recovery,2024-02-24,53.8,40.5,61.5,28.7,64.0,66.6,45.7,45.5,44.1,42.3,7.4,0.0,42.0,43.0,2024-03-14
3032,3032,Financial Loss,2023-03-30,-4.4,21.2,-26.5,20.8,0.0,42.9,52.6,14.4,16.4,15.5,79.6,21.0,2.9,12.0,2023-04-27
3033,3033,Bereavement,2022-09-15,-8.2,18.4,17.7,8.4,13.0,55.7,87.8,45.6,52.2,69.2,70.1,34.9,11.4,23.5,2022-11-07
3034,3034,Accident,2022-12-01,5.2,0.0,-21.9,13.3,9.0,46.2,52.7,25.6,37.1,50.3,62.0,11.6,14.1,21.8,2023-02-20
3035,3035,Job Change,2025-01-27,-9.3,6.0,-2.9,11.1,1.0,19.4,51.2,25.2,64.6,47.3,79.7,39.1,8.6,32.8,2025-04-08
3036,3036,Financial Loss,2023-06-06,18.0,19.0,-25.2,4.1,4.0,15.9,42.6,49.9,50.6,49.1,57.9,15.5,32.4,33.9,2023-07-16
3037,3037,Financial Loss,2024-01-13,-32.4,37.8,6.4,12.5,50.0,57.4,64.7,28.0,41.8,60.4,57.0,14.6,13.2,26.3,2024-02-26
3038,3038,Retirement,2024-06-05,111.4,100.0,44.7,63.3,94.0,61.5,40.6,38.6,8.8,45.0,31.8,61.5,66.3,59.6,2024-07-20
3039,3039,Investment Win,2023-06-09,40.3,32.7,22.2,29.9,31.0,71.4,59.9,24.6,38.5,13.2,84.7,16.3,27.7,39.6,2023-08-06
3040,3040,Illness,2023-10-10,43.1,37.1,13.6,15.5,46.0,100.0,42.7,37.2,32.1,16.0,52.7,65.3,44.2,54.5,2023-10-26
3041,3041,Reconciliation,2024-12-03,19.1,28.5,25.0,0.0,18.0,59.5,69.4,49.5,72.6,31.5,53.4,8.7,14.6,38.4,2024-12-13
3042,3042,Divorce,2025-07-03,-31.6,34.9,1.0,22.2,21.0,63.2,46.5,59.1,41.0,32.6,39.9,15.9,16.7,19.3,2025-08-22
3043,3043,Childbirth,2024-12-27,-5.3,9.2,-25.4,9.3,19.0,61.8,50.6,33.0,29.3,27.5,62.4,24.2,2.3,16.7,2025-02-04
3044,3044,Reconciliation,2025-06-04,-47.4,49.1,-44.5,29.1,38.0,61.6,17.8,38.1,24.6,37.4,63.9,32.9,-5.7,-16.4,2025-07-12
3045,3045,Relocation,2025-01-28,-7.0,8.8,19.3,20.1,8.0,48.4,32.2,53.0,56.9,40.0,95.1,25.3,14.9,17.6,2025-03-10
3046,3046,Education Milestone,2023-03-14,52.1,53.9,27.7,45.7,53.0,64.8,17.0,44.5,38.4,51.8,34.8,61.3,49.9,38.5,2023-04-19
3047,3047,Reconciliation,2023-04-24,-60.9,68.9,-3.7,39.5,45.0,87.3,47.5,25.5,36.2,36.4,11.9,63.4,2.8,26.3,2023-06-05
3048,3048,Job Change,2023-07-01,15.9,0.0,-6.4,0.0,17.0,15.4,24.2,29.1,31.3,38.8,38.0,39.9,37.8,42.6,2023-08-16
3049,3049,Investment Win,2023-04-16,-38.2,47.4,-4.5,27.8,30.0,86.2,23.2,6.6,32.6,38.7,69.8,36.6,-23.8,-21.1,2023-07-05
3050,3050,Travel,2025-02-27,62.9,62.3,20.2,46.1,51.0,25.6,45.2,45.8,61.8,53.9,16.6,4.8,47.9,49.2,2025-03-24
3051,3051,Layoff,2024-05-09,-20.5,35.0,67.7,15.1,22.0,87.4,56.3,22.3,40.5,37.9,69.2,46.1,15.1,12.2,2024-08-05
3052,3052,Marriage,2024-09-17,9.9,10.6,23.2,11.7,6.0,8.0,50.4,25.3,21.3,36.8,86.6,24.2,5.4,22.5,2024-09-19
3053,3053,Bereavement,2025-10-29,46.7,44.6,-1.3,35.4,45.0,39.1,33.3,43.1,34.0,29.9,53.1,80.1,39.4,47.6,2026-01-04
3054,3054,Bereavement,2024-07-03,-15.3,20.3,-0.7,35.1,28.0,87.2,42.5,45.1,34.8,51.5,47.0,59.4,8.9,8.4,2024-09-16
3055,3055,Travel,2023-03-22,21.6,6.6,10.7,7.8,38.0,38.7,41.0,13.2,11.7,17.5,53.3,77.3,14.3,25.0,2023-05-01
3056,3056,Job Change,2025-08-21,-7.2,0.0,-11.8,4.8,12.0,66.9,10.3,38.6,52.8,17.9,56.4,26.4,7.9,11.2,2025-11-01
3057,3057,Financial Loss,2024-08-12,31.1,45.7,-22.7,33.7,18.0,84.6,73.0,67.5,81.7,49.5,16.6,43.2,59.5,59.0,2024-08-16
3058,3058,Promotion,2023-01-24,0.5,0.2,-8.4,12.2,10.0,62.7,59.9,46.9,51.2,25.0,67.8,32.8,19.8,41.1,2023-02-06
3059,3059,Financial Loss,2025-08-22,-2.2,19.7,25.4,0.0,8.0,96.3,52.8,54.9,43.7,29.8,39.3,14.0,31.1,34.4,2025-09-05
3060,3060,Divorce,2024-05-03,4.1,22.8,-8.3,8.1,16.0,24.5,62.3,41.2,63.7,50.3,41.1,10.0,24.8,20.7,2024-06-07
3061,3061,Reconciliation,2025-08-11,-8.9,0.0,-18.2,7.8,0.0,53.4,61.6,31.0,36.5,35.9,72.9,32.5,12.6,16.8,2025-09-21
3062,3062,Bereavement,2022-02-24,-45.1,52.6,12.5,44.4,30.0,38.0,30.2,24.8,49.4,15.1,74.1,49.0,-8.5,18.0,2022-04-06
3063,3063,Reconciliation,2024-09-09,-30.5,27.1,6.9,33.6,38.0,59.1,44.4,47.4,32.2,9.2,72.4,37.2,35.9,36.1,2024-09-12
3064,3064,Accident,2025-08-19,-48.2,36.0,6.4,35.0,59.0,43.1,57.3,34.6,32.5,52.8,52.0,54.2,-8.2,17.1,2025-08-25
3065,3065,Travel,2025-10-16,-16.5,4.0,0.2,1.9,9.0,93.5,45.1,42.1,61.8,21.6,79.7,71.2,1.7,2.4,2025-11-02
3066,3066,Bereavement,2023-03-20,9.6,13.6,33.5,14.2,7.0,18.3,35.4,59.0,42.9,52.5,45.4,63.7,33.1,20.4,2023-06-04
3067,3067,Financial Loss,2025-10-19,37.4,20.7,-19.1,32.0,35.0,53.6,37.3,36.5,29.5,40.9,52.7,29.3,59.0,45.8,2025-12-30
3068,3068,Illness,2022-09-12,50.8,50.7,8.9,41.0,16.0,50.7,75.1,15.6,13.2,36.7,12.5,48.1,27.2,35.0,2022-10-23
3069,3069,Job Change,2025-11-11,7.7,6.1,-9.6,9.2,12.0,39.4,72.7,42.2,41.0,49.9,52.1,26.2,17.3,31.1,2025-11-25
3070,3070,Financial Loss,2023-12-21,61.5,76.0,-3.8,30.8,40.0,71.2,68.8,52.7,39.5,41.9,54.1,36.5,67.3,53.4,2024-01-12
3071,3071,Childbirth,2022-11-15,12.9,40.3,-38.2,0.0,13.0,49.6,28.5,7.2,0.4,56.9,23.2,56.9,-2.4,-1.4,2022-12-08
3072,3072,Marriage,2023-02-10,21.7,26.8,7.8,23.0,24.0,57.1,20.4,41.6,35.1,38.3,61.1,0.8,42.9,41.8,2023-04-30
3073,3073,Marriage,2022-12-26,43.4,35.7,-26.7,45.9,30.0,73.4,79.7,63.0,78.3,71.1,60.7,69.1,62.8,53.5,2023-01-26
3074,3074,Accident,2022-12-12,39.2,46.9,-1.9,18.6,50.0,76.4,68.9,50.5,59.4,51.4,95.6,34.1,40.3,45.9,2022-12-15
3075,3075,Financial Loss,2022-03-06,-15.7,10.8,16.3,16.4,0.0,93.9,60.7,40.6,38.4,67.9,69.3,27.3,-0.1,24.9,2022-04-10
3076,3076,Layoff,2025-02-15,-36.0,47.7,11.4,22.1,27.0,73.2,19.1,30.7,39.3,52.7,21.9,42.8,-11.3,-8.7,2025-02-27
3077,3077,Layoff,2024-05-31,39.0,37.0,8.1,38.2,9.0,40.3,49.6,41.2,57.7,11.6,2.0,24.1,43.4,54.0,2024-07-27
3078,3078,Layoff,2022-09-24,26.3,24.0,62.4,0.0,21.0,59.4,39.7,26.7,64.9,30.7,27.6,67.4,18.8,26.2,2022-11-26
3079,3079,Layoff,2025-05-23,-13.6,0.0,-43.4,11.3,21.0,40.0,60.6,52.2,56.2,4.1,50.1,1.3,16.4,23.1,2025-06-11
3080,3080,Travel,2025-05-11,33.6,48.7,-9.5,23.1,29.0,60.1,26.9,17.2,22.0,34.5,59.9,42.8,21.1,19.2,2025-07-03
3081,3081,Divorce,2024-08-22,-74.1,80.7,5.7,60.9,44.0,44.6,65.6,30.6,53.3,19.2,71.3,45.0,-24.2,1.0,2024-09-14
3082,3082,Illness,2022-03-30,4.5,9.8,-13.2,0.0,15.0,42.8,40.1,17.0,34.3,70.3,38.0,32.6,4.0,15.9,2022-05-22
3083,3083,Relocation,2023-06-20,-23.6,27.1,24.6,12.0,26.0,61.6,45.9,51.5,54.9,53.7,64.2,43.6,-0.9,30.6,2023-08-07
3084,3084,Retirement,2024-02-28,10.4,4.9,0.9,10.5,13.0,69.6,90.1,57.6,58.0,60.7,77.7,63.3,19.6,59.2,2024-03-19
3085,3085,Promotion,2022-09-17,-5.6,0.0,-26.0,0.0,8.0,49.4,42.5,55.9,52.8,32.5,7.4,64.9,16.6,14.6,2022-12-06
3086,3086,Reconciliation,2025-03-16,5.2,5.7,28.6,8.8,0.0,73.7,79.2,48.5,48.6,39.7,48.8,36.0,25.5,58.5,2025-04-12
3087,3087,Investment Win,2025-12-14,-7.9,16.0,-14.7,6.0,3.0,63.8,44.6,9.0,26.8,68.2,49.8,15.5,4.0,19.4,2026-01-19
3088,3088,Travel,2023-12-25,-91.9,97.5,32.5,61.7,62.0,24.8,33.3,28.3,21.1,25.7,57.7,6.3,-29.1,-25.3,2024-02-07
3089,3089,Relocation,2024-02-20,-30.9,25.8,13.7,16.3,16.0,73.5,36.1,48.0,63.2,14.2,81.5,57.4,23.9,12.6,2024-04-09
3090,3090,Childbirth,2024-02-11,26.4,20.9,-15.2,16.5,36.0,31.3,64.2,43.3,42.0,59.4,34.9,15.6,31.8,31.1,2024-04-21
3091,3091,Divorce,2023-06-18,-21.1,29.7,88.1,6.0,16.0,42.7,98.1,57.9,47.2,19.6,37.9,20.7,15.7,25.7,2023-09-01
3092,3092,Recovery,2022-07-13,-29.8,23.4,7.4,22.4,11.0,52.2,77.8,40.0,54.7,30.5,8.8,28.6,27.7,36.3,2022-08-12
3093,3093,Education Milestone,2022-08-25,-6.1,0.0,-44.6,22.6,5.0,51.7,70.1,33.6,36.5,29.7,68.9,37.5,25.0,30.6,2022-08-29
3094,3094,Childbirth,2023-03-17,-5.2,2.0,6.2,0.6,15.0,39.4,60.4,29.7,38.6,37.2,59.9,82.9,-0.2,13.6,2023-05-13
3095,3095,Illness,2022-07-26,63.3,69.7,-12.0,30.4,46.0,17.1,42.3,38.0,20.3,28.9,57.7,26.6,59.2,60.3,2022-08-03
3096,3096,Childbirth,2025-10-06,-4.9,0.2,1.8,0.0,0.0,32.8,39.4,31.3,33.9,42.0,44.0,46.5,6.1,4.0,2025-11-07
3097,3097,Bereavement,2025-04-27,-20.4,22.1,-64.7,0.0,7.0,36.7,51.4,37.3,41.1,34.7,47.7,66.1,20.6,36.6,2025-05-29
3098,3098,Recovery,2022-09-05,-25.0,38.6,17.8,11.7,6.0,43.9,30.0,45.2,47.8,48.7,96.0,16.5,-8.6,9.6,2022-10-09
3099,3099,Accident,2025-04-15,62.6,48.9,9.3,40.4,62.0,76.0,89.0,40.8,51.4,37.3,42.7,48.6,62.6,74.1,2025-05-26
3100,3100,Financial Loss,2025-10-12,-44.7,30.0,-25.0,29.6,47.0,82.5,68.0,41.2,36.9,47.0,5.0,57.4,-14.5,0.0,2025-10-13
3101,3101,Education Milestone,2023-03-08,-3.2,0.0,16.2,5.9,0.0,28.9,58.3,10.8,14.1,21.8,40.4,60.0,-4.8,14.0,2023-06-03
3102,3102,Spiritual Awakening,2025-03-01,57.9,43.8,-16.9,34.9,34.0,34.4,91.0,6.5,24.8,22.2,35.3,38.2,15.3,36.8,2025-04-14
3103,3103,Recovery,2025-05-07,-38.5,44.9,20.9,23.5,29.0,4.1,32.9,10.1,20.6,37.0,47.5,18.3,-14.4,-0.5,2025-07-17
3104,3104,Illness,2024-07-14,-7.2,1.3,19.0,8.3,7.0,88.4,83.6,47.0,43.9,67.1,43.0,48.6,30.0,46.4,2024-09-20
3105,3105,Recovery,2022-09-13,-34.3,16.9,29.3,30.8,40.0,42.8,51.3,39.7,32.6,60.0,48.8,41.9,20.0,27.2,2022-10-13
3106,3106,Illness,2023-02-12,23.1,22.6,-2.0,24.2,21.0,47.4,65.2,53.6,59.2,46.9,54.7,29.8,49.6,40.4,2023-04-21
3107,3107,Recovery,2023-09-04,36.2,45.1,-9.4,34.6,37.0,75.2,44.2,38.2,58.0,50.9,21.9,36.8,41.0,43.2,2023-11-22
3108,3108,Investment Win,2025-02-08,26.3,22.7,-7.5,22.8,23.0,56.2,37.9,20.5,19.5,29.9,51.6,44.5,15.1,21.5,2025-04-24
3109,3109,Divorce,2024-08-09,-16.2,5.5,-27.3,0.7,5.0,83.1,74.1,24.3,38.1,33.8,66.9,52.0,12.2,9.8,2024-11-01
3110,3110,Childbirth,2023-06-16,-25.0,21.6,13.3,3.4,22.0,45.5,48.7,49.8,65.6,48.8,38.1,32.8,6.8,17.6,2023-09-06
3111,3111,Bereavement,2025-08-15,56.6,58.4,-15.3,50.0,36.0,65.8,58.3,55.8,67.1,60.4,30.5,36.0,75.2,68.6,2025-10-01
3112,3112,Spiritual Awakening,2023-03-24,19.5,15.4,2.2,21.2,17.0,22.3,60.3,25.3,21.9,30.2,35.2,52.6,-13.5,3.0,2023-04-29
3113,3113,Promotion,2022-12-02,-12.3,17.9,-14.1,14.0,26.0,45.4,32.2,29.2,29.2,36.2,26.0,58.4,15.9,22.9,2023-02-27
3114,3114,Accident,2025-04-19,-44.3,48.7,-18.5,28.2,29.0,55.8,71.6,42.8,69.5,36.6,40.9,48.7,5.7,32.7,2025-05-21
3115,3115,Promotion,2022-07-28,-11.2,28.6,41.4,0.0,14.0,34.0,59.6,47.5,54.2,89.6,22.6,38.2,-9.2,8.0,2022-08-02
3116,3116,Reconciliation,2025-09-07,-15.4,25.6,-34.5,23.5,0.0,38.4,60.5,28.6,42.2,25.3,43.5,41.2,-3.2,27.7,2025-11-01
3117,3117,Spiritual Awakening,2022-08-28,-44.9,42.1,-29.9,22.5,51.0,47.7,53.4,31.6,52.4,43.1,63.9,0.0,1.7,2.9,2022-11-06
3118,3118,Layoff,2023-08-12,-18.3,8.0,-11.4,14.9,19.0,35.7,80.2,60.3,53.3,73.3,62.0,21.5,36.2,35.7,2023-10-21
3119,3119,Financial Loss,2023-10-08,11.5,20.2,11.7,2.2,18.0,60.8,54.0,27.1,46.7,51.0,54.6,62.9,29.5,31.4,2023-10-21
3120,3120,Divorce,2023-04-23,24.0,20.0,-10.5,26.4,23.0,94.6,36.2,36.0,32.2,28.7,64.2,5.2,32.0,26.7,2023-05-12
3121,3121,Relocation,2025-08-29,30.4,42.8,14.3,26.4,31.0,63.3,36.0,43.9,51.7,43.1,33.5,49.7,40.1,42.3,2025-10-01
3122,3122,Bereavement,2022-12-04,-0.8,0.0,12.2,0.0,10.0,39.5,48.2,35.0,44.7,42.1,69.7,49.9,30.9,21.5,2023-01-06
3123,3123,Relocation,2025-02-18,1.1,0.9,7.7,0.0,0.0,38.2,72.4,32.3,43.6,47.4,24.5,8.9,27.5,49.2,2025-04-02
3124,3124,Investment Win,2025-05-05,-6.3,10.7,7.0,13.6,13.0,50.4,50.1,26.9,49.3,64.8,47.2,39.4,8.5,7.9,2025-07-17
3125,3125,Divorce,2022-12-08,19.5,32.7,6.6,20.8,7.0,59.2,62.2,34.1,32.8,30.9,42.9,42.0,20.6,33.3,2023-02-06
3126,3126,Retirement,2025-04-15,21.3,11.1,-20.1,38.1,16.0,43.1,38.5,39.0,31.3,45.5,63.2,23.1,38.0,31.0,2025-06-11
3127,3127,Divorce,2022-03-12,27.6,29.9,-3.7,9.6,31.0,44.3,43.6,37.7,38.6,38.1,41.0,53.7,17.9,39.3,2022-05-17
3128,3128,Layoff,2023-06-07,8.8,22.1,-11.6,0.3,3.0,42.5,44.2,53.3,18.3,32.1,54.4,39.0,50.4,59.1,2023-07-18
3129,3129,Bereavement,2023-08-25,-28.1,52.3,3.6,25.2,17.0,35.8,53.5,55.8,72.7,54.0,62.3,66.9,1.3,19.0,2023-09-15
3130,3130,Investment Win,2023-07-18,25.0,14.8,0.5,21.1,14.0,42.6,68.8,49.1,47.0,25.0,76.6,34.3,32.8,40.0,2023-09-08
3131,3131,Relocation,2024-08-27,4.0,0.0,19.7,11.8,11.0,71.3,43.3,19.3,34.2,40.8,87.6,89.5,12.0,33.5,2024-09-27
3132,3132,Layoff,2023-07-10,32.2,63.5,-14.5,3.8,4.0,75.2,64.2,35.7,18.1,50.3,39.1,53.5,23.0,42.3,2023-09-29
3133,3133,Accident,2024-03-25,-48.6,62.9,-45.1,28.9,56.0,46.7,54.2,59.1,77.7,44.5,29.3,61.3,1.9,19.3,2024-03-28
3134,3134,Accident,2022-10-09,-29.2,25.5,-40.4,30.0,19.0,40.0,55.8,47.0,45.1,68.1,55.4,52.2,21.1,28.6,2022-11-15
3135,3135,Recovery,2023-10-21,20.2,4.3,-29.2,3.9,1.0,40.6,79.9,24.7,42.0,33.6,45.1,30.5,36.0,37.0,2023-11-08
3136,3136,Spiritual Awakening,2022-04-11,-5.9,18.5,19.2,0.0,0.0,64.3,42.6,32.4,37.0,1.1,70.4,3.4,21.2,-1.1,2022-04-12
3137,3137,Relocation,2024-01-21,54.9,52.3,36.6,45.2,51.0,43.1,68.6,17.5,26.5,40.2,59.1,39.9,29.8,30.2,2024-02-05
3138,3138,Relocation,2025-01-30,36.3,41.6,-34.1,15.0,39.0,49.9,65.0,45.1,61.4,41.5,68.7,19.0,70.3,69.2,2025-03-26
3139,3139,Illness,2024-02-03,28.8,27.4,-16.6,30.3,29.0,85.4,58.6,62.6,61.6,22.5,71.8,30.5,27.1,30.8,2024-03-28
3140,3140,Retirement,2023-04-24,13.5,24.3,-1.3,33.1,9.0,35.3,72.3,14.5,36.7,35.3,63.6,53.7,7.6,13.2,2023-07-18
3141,3141,Retirement,2024-03-24,21.4,33.3,13.6,0.0,28.0,27.8,15.3,21.2,33.3,40.4,27.6,48.2,27.8,20.5,2024-03-27
3142,3142,Financial Loss,2025-11-14,17.8,2.7,-21.5,10.9,15.0,18.8,71.0,32.0,35.8,44.7,40.5,4.0,-8.5,24.4,2025-12-09
3143,3143,Marriage,2024-06-05,-53.7,54.2,52.3,58.5,37.0,30.2,97.2,45.4,52.3,49.6,51.1,22.5,-15.3,34.8,2024-06-19
3144,3144,Recovery,2023-04-27,-3.4,4.6,1.9,8.0,9.0,12.3,40.8,42.5,47.9,65.1,30.8,21.9,21.0,20.9,2023-07-10
3145,3145,Accident,2023-12-02,-30.9,28.6,47.4,24.4,21.0,61.5,35.0,27.9,38.0,14.2,31.1,30.4,8.9,-14.2,2024-01-25
3146,3146,Marriage,2023-06-23,74.2,72.3,-9.1,36.2,62.0,31.7,67.2,44.4,41.9,44.6,38.5,26.5,47.3,49.9,2023-08-15
3147,3147,Divorce,2024-06-02,5.6,4.3,20.2,18.2,8.0,86.1,79.0,70.8,82.1,18.9,92.9,60.8,41.5,51.0,2024-06-12
3148,3148,Layoff,2025-06-17,-39.4,49.6,6.6,49.8,41.0,43.8,25.2,8.3,23.1,35.3,42.1,57.1,-17.1,9.0,2025-09-08
3149,3149,Retirement,2025-07-02,3.3,0.0,-32.0,0.0,0.0,55.2,43.9,51.2,50.7,21.1,40.1,7.0,23.5,25.7,2025-09-04
3150,3150,Financial Loss,2025-01-06,-0.1,0.0,18.5,0.0,0.0,81.2,65.2,41.6,31.2,82.7,51.5,23.1,17.2,34.9,2025-02-09
3151,3151,Reconciliation,2022-11-10,24.1,22.7,4.9,17.3,24.0,33.0,72.5,51.6,41.1,45.8,16.6,46.8,59.0,70.2,2022-11-18
3152,3152,Relocation,2023-04-17,7.0,20.3,-33.4,0.0,13.0,45.1,41.3,16.7,23.6,34.7,63.5,30.9,15.3,28.5,2023-06-18
3153,3153,Reconciliation,2024-12-22,0.6,11.1,10.3,0.0,0.0,9.0,68.5,56.8,49.6,54.0,52.0,19.6,34.8,66.6,2025-02-11
3154,3154,Promotion,2022-10-10,22.3,24.4,-19.7,5.6,18.0,13.6,65.2,53.4,64.6,66.5,29.0,24.9,29.3,35.4,2022-11-28
3155,3155,Retirement,2022-07-03,-6.4,4.9,-11.7,0.0,13.0,60.0,90.7,44.7,36.0,67.1,18.3,40.2,1.6,46.0,2022-07-18
3156,3156,Retirement,2022-12-12,-6.0,1.0,-35.6,0.0,0.0,55.4,45.7,44.0,44.0,24.4,85.5,66.5,8.5,37.2,2023-01-07
3157,3157,Marriage,2024-07-10,29.8,38.3,7.5,18.8,22.0,11.9,42.8,47.8,41.3,57.5,63.9,66.3,43.1,44.5,2024-07-19
3158,3158,Illness,2025-08-15,-9.9,13.1,16.9,22.8,0.0,8.3,61.1,36.6,57.3,57.8,70.6,81.7,13.6,27.4,2025-08-24
3159,3159,Financial Loss,2024-01-24,63.1,69.2,-17.2,32.4,54.0,51.9,37.5,37.9,70.1,47.1,41.2,58.4,58.0,39.0,2024-04-19
3160,3160,Promotion,2024-10-11,-28.9,29.7,-26.9,19.6,13.0,25.5,65.8,38.0,25.8,39.7,50.3,6.0,3.4,14.4,2024-11-22
3161,3161,Travel,2022-09-15,-10.0,13.3,-1.2,6.2,8.0,36.8,60.2,55.1,56.9,49.4,41.5,22.1,26.3,39.6,2022-10-21
3162,3162,Divorce,2024-10-12,-62.5,86.3,42.0,46.5,43.0,47.4,68.5,7.7,21.8,20.8,49.1,35.9,-21.9,-13.5,2024-12-10
3163,3163,Relocation,2022-12-18,32.9,30.7,38.7,41.7,15.0,50.1,70.5,25.8,20.1,47.6,53.3,3.1,27.3,27.4,2022-12-22
3164,3164,Bereavement,2022-11-12,-34.4,42.6,30.0,27.9,26.0,64.6,63.8,45.3,45.3,58.2,50.3,78.8,11.0,23.2,2023-01-26
3165,3165,Financial Loss,2022-08-03,18.4,0.0,12.7,13.3,4.0,58.8,87.9,56.4,76.6,40.4,53.3,18.3,27.8,44.6,2022-09-22
3166,3166,Reconciliation,2025-10-01,56.2,61.1,19.1,50.2,38.0,71.4,43.1,61.6,49.5,37.0,65.2,0.0,51.4,44.6,2025-12-14
3167,3167,Spiritual Awakening,2024-05-05,34.8,35.1,-13.3,34.4,17.0,35.7,27.1,49.3,48.0,57.4,43.9,33.8,12.2,15.0,2024-05-16
3168,3168,Divorce,2025-03-15,-15.0,18.3,-46.1,4.3,2.0,78.9,61.0,45.8,45.0,52.4,100.0,69.6,1.4,20.4,2025-04-21
3169,3169,Job Change,2022-11-29,24.4,39.9,56.9,23.4,20.0,54.8,66.4,52.8,64.8,81.9,47.1,0.0,48.3,73.4,2023-02-14
3170,3170,Investment Win,2024-01-22,15.3,22.1,-85.3,13.1,0.0,53.7,51.8,34.4,54.7,21.4,33.5,19.3,30.1,38.3,2024-03-10
3171,3171,Financial Loss,2025-05-17,-4.4,11.2,-84.9,5.4,11.0,55.6,34.3,58.7,55.2,27.8,29.0,15.6,48.8,40.1,2025-06-03
3172,3172,Layoff,2024-05-31,55.0,47.6,-11.4,43.0,66.0,20.9,64.0,64.7,67.3,50.7,59.1,0.0,80.6,82.4,2024-07-06
3173,3173,Childbirth,2022-12-16,-7.1,0.0,40.6,0.0,15.0,57.6,51.5,23.6,18.2,8.5,37.0,19.2,7.4,6.9,2023-01-24
3174,3174,Childbirth,2025-05-30,-35.9,34.2,14.4,19.5,23.0,44.8,32.1,39.1,31.8,25.7,28.0,67.9,1.9,23.3,2025-06-25
3175,3175,Travel,2024-04-09,-1.7,0.0,55.7,2.6,9.0,68.1,58.2,35.5,42.0,55.0,23.2,48.8,-2.6,12.0,2024-04-19
3176,3176,Divorce,2025-07-30,3.0,0.0,-12.8,23.0,0.0,64.4,64.3,17.9,42.2,40.6,41.7,47.8,5.5,17.8,2025-10-05
3177,3177,Job Change,2023-09-23,16.2,22.6,-27.6,21.1,19.0,55.7,61.1,48.3,46.3,28.7,72.7,43.3,10.0,18.1,2023-10-27
3178,3178,Divorce,2024-04-29,-1.0,2.8,34.7,0.0,13.0,96.4,59.8,52.5,43.8,80.8,45.5,22.0,8.6,18.5,2024-07-07
3179,3179,Education Milestone,2023-03-24,12.2,5.6,0.7,0.0,17.0,24.4,77.7,54.1,46.0,56.3,8.9,22.4,33.0,48.3,2023-05-20
3180,3180,Accident,2023-11-22,-12.7,8.2,-32.2,1.2,15.0,26.8,53.6,0.0,3.3,38.6,19.7,33.7,5.0,8.6,2024-02-12
