env_id,user_id,work_environment,noise_level,family_support,peer_influence,financial_pressure,job_security,work_life_balance,social_pressure,cultural_factor,digital_exposure,internet_usage,community_support,mentor_presence,competition_level,opportunity_index,stress_triggers,growth_opportunities,recorded_at
29668,29668,Factory,41.0,98.4,66.7,21.7,62.7,67.1,41.6,80.0,34.1,51.7,21.2,0,37.8,61.1,52.3,79.0,2025-06-30
29669,29669,Remote,35.2,90.1,80.0,46.1,73.8,72.9,71.6,14.0,74.2,41.7,49.8,1,30.3,67.5,51.6,56.6,2025-06-30
29670,29670,Field,49.1,34.5,15.4,73.2,43.6,66.4,44.1,76.3,46.9,85.7,31.6,1,31.4,53.6,55.9,31.9,2025-06-30
29671,29671,Remote,40.6,74.8,86.0,55.4,72.0,53.2,62.0,18.6,39.8,29.5,20.0,0,41.1,36.6,56.0,10.0,2025-06-30
29672,29672,Field,48.2,60.2,21.5,24.7,52.5,53.4,45.5,54.7,12.9,40.9,70.9,0,48.8,60.9,64.5,45.3,2025-06-30
29673,29673,Hybrid,43.7,27.4,33.1,40.0,80.1,45.5,59.9,68.3,40.1,47.6,62.3,1,59.0,79.3,30.7,55.9,2025-06-30
29674,29674,Hybrid,42.1,74.6,59.2,19.8,73.3,65.8,55.4,35.4,44.6,36.1,70.6,0,3.4,28.8,59.5,27.7,2025-06-30
29675,29675,Home,32.4,68.0,66.1,28.9,40.2,62.6,78.4,45.2,38.6,70.6,29.8,0,52.0,59.0,49.7,51.0,2025-06-30
29676,29676,Outdoor,44.3,88.7,70.5,54.3,63.0,85.8,25.2,39.5,39.3,68.3,35.6,1,25.5,54.8,89.1,84.1,2025-06-30
29677,29677,Field,51.2,75.4,43.6,5.6,64.8,67.3,50.6,67.1,1.8,83.6,29.8,1,35.2,69.4,48.5,61.5,2025-06-30
29678,29678,Hybrid,42.2,73.1,54.6,72.5,53.1,60.5,62.0,69.3,29.6,48.1,82.7,0,67.4,31.8,56.0,58.5,2025-06-30
29679,29679,Outdoor,52.9,57.6,34.2,37.8,27.7,82.8,29.7,52.0,61.3,29.3,52.9,1,21.1,63.1,78.2,50.2,2025-06-30
29680,29680,Home,60.8,56.0,43.8,48.3,27.1,58.0,41.3,61.4,71.4,44.4,63.8,1,7.9,18.4,61.0,37.2,2025-06-30
29681,29681,Field,76.9,41.9,39.7,15.8,85.8,45.0,54.6,36.6,40.5,55.1,43.9,0,23.3,30.8,27.6,14.3,2025-06-30
29682,29682,Outdoor,35.3,55.5,22.9,27.5,65.6,77.3,45.1,29.8,46.5,75.8,51.5,0,76.3,33.4,55.1,43.6,2025-06-30
29683,29683,Hybrid,49.9,60.2,0.0,23.2,32.2,47.0,73.4,74.4,27.0,82.8,51.8,0,84.2,14.3,80.4,33.0,2025-06-30
29684,29684,Hybrid,30.4,90.5,73.7,49.9,85.1,52.7,72.3,55.3,32.2,85.4,87.2,0,26.3,37.6,61.1,39.2,2025-06-30
29685,29685,Office,58.0,37.6,45.1,25.6,78.9,47.8,48.8,50.1,38.7,97.7,38.0,0,46.3,70.5,68.0,45.9,2025-06-30
29686,29686,Home,16.7,71.0,12.7,37.1,74.8,60.3,45.5,47.1,25.7,42.3,55.7,0,49.4,43.0,30.9,34.8,2025-06-30
29687,29687,Remote,40.9,46.5,42.8,36.8,69.7,68.7,55.3,80.3,55.3,49.1,64.3,0,43.9,83.2,64.8,68.4,2025-06-30
29688,29688,Home,48.2,79.9,70.4,67.0,75.7,46.4,49.1,32.4,47.2,100.0,33.7,1,45.3,69.9,63.4,59.7,2025-06-30
29689,29689,Outdoor,74.2,57.6,44.6,4.9,50.4,73.2,9.3,40.4,32.5,59.4,14.7,1,30.1,46.1,52.1,47.9,2025-06-30
29690,29690,Field,41.5,78.0,44.1,57.4,51.4,51.7,51.9,11.0,34.3,42.2,24.5,0,30.9,99.7,32.2,86.6,2025-06-30
29691,29691,Outdoor,16.4,68.9,69.9,40.9,69.9,60.4,34.0,71.7,52.7,52.8,31.5,1,71.2,10.9,26.5,37.9,2025-06-30
29692,29692,Outdoor,40.6,36.5,73.1,25.2,79.0,67.5,36.7,68.4,24.5,72.0,50.7,1,50.3,97.4,86.3,93.0,2025-06-30
29693,29693,Outdoor,86.8,56.5,34.5,39.7,52.9,53.5,60.9,47.0,24.2,54.2,56.8,0,50.1,61.8,30.3,44.2,2025-06-30
29694,29694,Outdoor,39.9,41.2,62.1,78.2,81.2,56.4,82.7,41.8,14.9,33.1,45.4,1,65.8,54.6,46.2,54.7,2025-06-30
29695,29695,Remote,49.4,48.8,45.5,26.9,78.3,92.0,37.6,41.6,49.0,94.1,68.5,0,67.8,71.9,52.3,56.4,2025-06-30
29696,29696,Outdoor,61.6,53.5,29.8,28.3,47.2,40.6,4.2,77.5,27.9,37.4,72.7,1,57.5,94.2,26.5,86.9,2025-06-30
29697,29697,Office,66.1,56.1,64.7,46.2,39.3,30.4,43.2,8.6,36.4,43.2,44.9,1,21.2,73.7,16.5,67.0,2025-06-30
29698,29698,Remote,31.2,33.9,43.8,35.5,48.7,37.8,26.0,58.1,57.2,88.9,47.2,0,60.4,55.8,39.8,58.7,2025-06-30
29699,29699,Remote,45.3,44.0,66.0,17.3,58.6,77.5,45.4,64.1,17.4,59.8,23.7,0,76.9,46.2,39.8,44.6,2025-06-30
29700,29700,Factory,49.9,43.2,64.2,41.3,29.0,52.2,21.3,35.7,45.0,17.1,33.7,0,23.8,100.0,54.9,82.3,2025-06-30
29701,29701,Remote,59.9,43.1,29.8,65.9,52.2,46.2,49.4,35.0,48.2,59.4,45.1,0,26.4,24.9,50.0,24.9,2025-06-30
29702,29702,Office,24.4,33.0,59.8,45.5,50.1,28.8,48.6,51.9,21.7,35.2,38.8,0,76.1,94.4,43.5,70.6,2025-06-30
29703,29703,Factory,51.2,83.0,63.1,34.6,57.8,75.8,30.8,62.2,28.7,36.9,74.2,1,42.3,54.6,68.5,49.3,2025-06-30
29704,29704,Outdoor,43.7,55.3,66.8,12.5,63.4,34.5,62.6,19.9,43.8,81.6,38.5,0,46.2,39.9,77.1,44.9,2025-06-30
29705,29705,Remote,52.5,53.1,38.9,13.9,26.2,60.8,23.0,64.1,36.2,70.5,48.9,0,68.2,55.5,100.0,67.4,2025-06-30
29706,29706,Factory,69.0,51.4,48.7,29.6,55.3,62.1,54.4,63.8,44.5,52.4,68.1,1,63.2,42.2,7.3,62.2,2025-06-30
29707,29707,Factory,41.2,72.0,64.8,40.0,61.5,42.8,83.3,47.8,48.3,42.3,62.4,0,37.3,65.0,84.7,50.8,2025-06-30
29708,29708,Home,63.7,62.7,27.2,6.3,81.4,48.1,57.2,37.5,24.4,79.0,66.8,0,58.7,15.1,59.4,4.4,2025-06-30
29709,29709,Home,88.8,81.7,27.8,60.1,71.2,60.1,38.1,36.3,40.8,70.2,40.2,0,40.3,72.9,34.4,71.2,2025-06-30
29710,29710,Remote,44.3,61.3,74.1,35.7,72.3,74.8,47.1,65.4,31.8,27.8,47.2,1,21.4,46.1,50.8,45.9,2025-06-30
29711,29711,Outdoor,49.5,24.4,15.8,27.3,78.7,30.7,56.6,36.5,18.5,49.9,45.8,1,14.3,73.4,60.3,70.3,2025-06-30
29712,29712,Outdoor,88.8,88.7,19.7,0.7,73.3,88.2,30.0,62.2,45.8,69.5,87.8,0,46.4,78.9,36.3,65.4,2025-06-30
29713,29713,Remote,77.3,64.5,70.6,43.7,57.6,41.9,56.0,30.9,49.9,59.8,38.3,0,67.0,64.4,55.3,46.0,2025-06-30
29714,29714,Outdoor,47.2,46.0,54.8,52.4,41.9,84.8,45.0,74.5,33.2,57.5,47.8,0,7.0,42.5,32.8,41.7,2025-06-30
29715,29715,Home,59.5,59.3,59.7,17.0,66.0,40.6,62.5,16.5,34.8,33.2,1.2,0,53.5,43.6,47.9,58.7,2025-06-30
29716,29716,Outdoor,45.1,78.8,31.3,52.3,59.0,89.8,72.1,47.6,0.0,46.4,31.9,1,27.4,55.0,62.2,66.7,2025-06-30
29717,29717,Hybrid,80.8,45.7,81.3,51.3,55.2,57.3,47.7,31.2,23.3,56.8,54.1,0,88.5,67.3,72.8,22.9,2025-06-30
29718,29718,Office,37.8,51.4,45.4,57.5,70.3,52.7,47.1,27.9,33.2,66.4,19.1,0,13.2,45.0,76.8,60.6,2025-06-30
29719,29719,Remote,32.4,35.2,86.2,49.8,91.5,71.0,61.8,44.1,1.7,75.7,23.7,1,42.4,47.6,34.1,47.6,2025-06-30
29720,29720,Outdoor,63.6,26.2,37.2,59.7,100.0,68.2,63.2,65.4,31.6,75.8,63.3,0,48.4,28.6,52.9,17.4,2025-06-30
29721,29721,Outdoor,74.5,51.6,30.5,1.6,48.8,70.9,60.5,79.0,49.9,67.8,26.0,0,47.4,42.9,20.8,66.2,2025-06-30
29722,29722,Field,41.8,50.3,34.4,52.6,76.2,53.0,54.9,96.4,56.8,55.0,58.0,1,47.8,62.5,80.6,49.5,2025-06-30
29723,29723,Home,42.8,61.4,72.5,66.1,50.6,34.1,51.2,30.6,33.1,88.3,24.7,0,61.0,37.6,45.6,60.6,2025-06-30
29724,29724,Field,76.0,77.9,45.4,48.9,68.9,45.9,10.7,19.1,37.3,58.0,24.1,1,36.9,53.6,31.4,75.0,2025-06-30
29725,29725,Field,83.6,66.9,52.6,60.6,93.9,52.0,78.4,90.7,36.7,72.6,80.9,0,62.8,27.4,46.5,16.6,2025-06-30
29726,29726,Outdoor,34.5,60.3,35.8,70.5,64.4,48.3,31.5,18.2,55.1,58.3,29.6,1,100.0,58.8,62.0,50.2,2025-06-30
29727,29727,Remote,57.7,49.2,60.3,49.3,77.2,84.4,28.7,31.0,18.5,69.5,47.5,1,100.0,58.9,72.7,50.3,2025-06-30
29728,29728,Office,38.0,50.8,44.6,75.2,46.5,52.8,70.2,30.4,34.0,55.8,25.6,0,54.1,58.7,49.6,53.3,2025-06-30
29729,29729,Field,81.1,59.2,64.4,74.5,72.2,45.2,36.3,44.0,69.2,87.6,53.3,0,22.2,58.2,52.8,58.4,2025-06-30
29730,29730,Home,53.5,75.2,45.8,85.5,28.6,30.6,38.1,41.4,14.3,54.5,11.0,0,83.4,100.0,15.7,58.8,2025-06-30
29731,29731,Home,38.1,58.8,61.8,28.1,50.0,43.1,9.3,41.4,4.4,6.9,34.0,1,12.4,58.9,49.9,75.3,2025-06-30
29732,29732,Hybrid,49.7,55.7,56.2,24.0,50.2,46.3,42.4,36.0,40.8,27.2,55.6,0,75.2,75.8,0.0,43.5,2025-06-30
29733,29733,Hybrid,58.0,32.8,82.5,0.0,90.6,57.7,56.2,15.9,28.4,30.7,24.2,0,63.7,57.6,64.1,69.2,2025-06-30
29734,29734,Home,62.1,67.5,52.4,52.4,60.6,63.1,26.0,63.9,41.4,69.5,55.7,0,21.9,57.6,8.3,55.7,2025-06-30
29735,29735,Field,47.2,99.7,61.4,31.9,89.3,67.4,58.6,61.1,40.9,83.3,22.6,1,14.5,48.4,47.9,35.2,2025-06-30
29736,29736,Field,25.1,80.3,59.2,63.4,69.8,63.0,100.0,37.9,35.2,44.8,42.1,1,48.4,89.3,33.9,81.4,2025-06-30
29737,29737,Hybrid,57.5,24.0,25.5,64.0,13.4,59.0,37.2,76.5,42.3,83.9,44.7,1,47.2,53.5,54.2,55.1,2025-06-30
29738,29738,Outdoor,49.1,78.4,41.4,0.0,50.8,37.6,29.9,75.2,18.4,79.3,35.9,1,60.9,51.1,56.6,39.7,2025-06-30
29739,29739,Field,27.2,51.3,17.1,13.9,100.0,86.5,58.6,59.5,36.9,20.2,10.2,0,39.4,61.5,46.8,53.5,2025-06-30
29740,29740,Remote,46.3,65.9,35.1,41.7,47.7,91.4,40.7,58.0,40.2,42.8,64.6,0,100.0,60.8,10.2,48.6,2025-06-30
29741,29741,Office,29.3,61.2,52.2,21.1,73.5,50.9,20.6,73.0,15.1,54.1,40.5,0,44.0,62.0,21.9,51.3,2025-06-30
29742,29742,Factory,28.8,73.7,29.1,38.1,55.1,73.4,29.2,64.4,32.8,55.2,45.4,0,89.2,81.3,54.9,85.2,2025-06-30
29743,29743,Home,55.9,87.7,54.4,60.5,49.2,66.6,71.3,32.5,67.0,31.6,60.2,0,39.3,40.0,38.4,30.1,2025-06-30
29744,29744,Outdoor,64.4,42.4,18.7,9.4,35.7,57.2,40.1,71.3,19.2,72.0,60.6,0,50.8,70.6,63.6,62.4,2025-06-30
29745,29745,Office,25.7,100.0,45.6,26.9,55.5,28.8,51.2,26.0,39.7,55.1,58.7,1,59.8,78.8,2.3,73.7,2025-06-30
29746,29746,Factory,77.5,63.9,63.6,3.7,35.1,61.6,80.5,39.1,31.3,55.9,57.8,1,29.9,78.9,67.6,57.0,2025-06-30
29747,29747,Hybrid,76.0,97.8,37.6,46.8,40.8,61.6,39.0,64.3,50.2,86.8,18.0,0,26.3,100.0,52.3,100.0,2025-06-30
29748,29748,Office,64.6,48.0,48.9,60.7,50.1,64.2,28.5,33.3,20.8,92.3,40.3,1,22.9,58.0,42.1,60.3,2025-06-30
29749,29749,Hybrid,23.0,76.8,48.7,61.8,43.7,50.5,32.9,6.8,42.9,41.3,31.2,0,67.7,10.1,55.6,15.4,2025-06-30
29750,29750,Home,47.0,62.1,52.1,16.7,39.0,52.9,32.4,26.6,20.5,55.4,44.5,0,51.2,75.5,52.7,65.2,2025-06-30
29751,29751,Office,69.0,53.7,62.1,57.4,74.6,53.8,51.0,46.4,42.6,36.9,55.7,0,77.9,69.6,46.1,50.2,2025-06-30
29752,29752,Field,61.7,92.8,44.6,51.6,42.2,57.6,2.8,75.1,56.1,76.7,59.0,0,38.9,45.8,68.4,74.5,2025-06-30
29753,29753,Field,47.4,89.5,66.3,6.7,87.7,42.4,44.2,59.4,31.3,51.1,78.9,0,14.8,47.4,37.0,24.7,2025-06-30
29754,29754,Remote,22.5,61.1,91.3,20.1,68.3,50.0,73.9,58.8,34.0,36.4,31.6,0,67.2,38.5,55.5,36.1,2025-06-30
29755,29755,Outdoor,65.8,87.6,64.1,0.0,92.7,70.5,75.6,44.5,48.2,49.9,43.3,0,89.7,38.4,50.6,13.7,2025-06-30
29756,29756,Office,31.2,49.8,65.0,99.6,75.7,69.4,63.3,29.2,60.3,62.1,52.9,0,60.5,84.0,23.6,81.5,2025-06-30
29757,29757,Field,60.4,36.0,56.1,60.5,31.1,54.0,50.1,68.5,31.1,66.7,37.7,1,34.3,92.5,74.4,62.9,2025-06-30
29758,29758,Factory,48.1,56.7,55.4,91.8,49.9,61.3,45.0,82.9,50.4,64.6,39.9,0,88.0,45.9,41.1,4.7,2025-06-30
29759,29759,Office,48.5,66.9,47.0,30.5,100.0,54.7,35.7,76.5,50.2,88.8,87.7,1,56.9,64.3,45.2,42.6,2025-06-30
29760,29760,Remote,14.9,79.5,33.9,0.0,49.8,79.1,74.3,29.8,74.4,58.4,42.4,0,79.2,42.4,29.4,47.8,2025-06-30
29761,29761,Field,55.5,64.5,64.1,61.7,55.1,85.0,28.1,52.0,29.1,21.8,71.1,0,94.7,43.4,56.4,41.4,2025-06-30
29762,29762,Home,36.2,80.0,16.8,29.9,97.7,54.9,73.0,32.1,29.6,44.3,18.3,1,65.4,42.5,9.6,34.8,2025-06-30
29763,29763,Field,57.4,40.9,85.3,9.3,43.6,67.0,44.2,52.7,44.0,49.6,11.9,0,39.8,38.6,44.9,53.3,2025-06-30
29764,29764,Field,18.2,86.6,51.4,28.3,66.5,30.7,49.8,46.8,51.6,100.0,40.7,0,30.6,63.7,33.9,52.4,2025-06-30
29765,29765,Factory,61.4,49.2,85.2,40.4,42.1,52.3,76.1,42.3,18.2,47.0,0.0,0,66.7,50.0,42.1,50.4,2025-06-30
29766,29766,Office,74.1,42.3,46.9,40.0,83.3,48.0,37.2,60.7,24.9,55.8,100.0,0,87.6,64.7,51.2,65.4,2025-06-30
29767,29767,Outdoor,71.7,72.5,61.5,32.2,52.2,45.4,43.0,45.2,31.2,100.0,63.9,1,52.4,67.8,29.4,43.8,2025-06-30
29768,29768,Hybrid,86.8,84.2,42.3,0.0,77.6,31.1,79.6,69.9,47.6,84.6,81.4,1,10.7,94.1,57.9,85.2,2025-06-30
29769,29769,Office,38.9,27.1,51.8,43.9,72.6,70.5,55.5,27.7,48.3,47.2,75.8,0,25.4,23.3,35.3,50.3,2025-06-30
29770,29770,Factory,31.9,46.3,36.9,64.1,85.4,64.3,0.0,48.7,24.3,63.0,46.5,1,72.5,66.7,37.7,57.9,2025-06-30
29771,29771,Office,35.1,58.1,73.1,26.0,72.9,57.4,70.8,41.5,40.7,64.0,66.9,0,37.0,20.5,67.7,38.5,2025-06-30
29772,29772,Remote,0.0,84.0,53.0,33.6,4.5,54.5,3.1,50.2,54.4,0.0,58.7,0,74.8,51.8,62.2,46.3,2025-06-30
29773,29773,Home,28.8,57.9,74.3,56.1,32.3,36.9,46.7,31.3,22.5,18.6,62.8,0,94.0,61.5,49.2,55.7,2025-06-30
29774,29774,Home,77.1,18.0,24.9,22.7,51.1,69.2,20.8,60.8,36.5,95.7,44.3,0,40.1,72.5,46.1,60.8,2025-06-30
29775,29775,Outdoor,41.2,48.0,35.6,0.0,77.0,47.2,18.5,42.2,73.5,42.1,81.8,0,22.0,100.0,70.4,67.9,2025-06-30
29776,29776,Outdoor,57.9,28.0,52.7,71.9,70.1,52.2,49.4,35.5,44.7,82.8,70.8,1,77.1,26.7,48.3,43.3,2025-06-30
29777,29777,Field,64.1,74.2,62.8,61.3,66.2,56.0,51.2,36.7,27.4,48.4,52.0,1,67.0,74.9,19.1,65.3,2025-06-30
29778,29778,Factory,27.0,45.0,52.7,57.4,100.0,70.9,61.2,73.2,49.7,60.6,37.6,1,67.7,86.1,64.2,52.6,2025-06-30
29779,29779,Field,54.9,53.2,46.3,54.8,80.6,67.0,63.6,52.3,41.0,64.1,59.3,0,24.3,73.4,27.3,73.2,2025-06-30
29780,29780,Factory,0.0,23.5,38.4,39.3,60.7,41.3,22.8,38.2,25.7,60.9,2.7,0,62.6,85.3,48.4,61.5,2025-06-30
29781,29781,Hybrid,56.2,100.0,31.4,36.9,52.1,60.7,23.7,48.3,44.0,62.6,41.2,0,36.5,72.5,39.2,85.2,2025-06-30
29782,29782,Outdoor,85.3,45.2,45.4,21.9,52.5,55.0,37.0,64.4,26.9,33.2,60.2,0,43.5,87.6,52.0,68.9,2025-06-30
29783,29783,Factory,65.2,69.1,66.2,20.2,27.8,75.1,60.2,22.6,35.1,75.8,54.0,0,50.8,46.5,75.2,30.5,2025-06-30
29784,29784,Field,75.7,58.0,50.9,46.2,90.7,46.7,61.2,44.6,34.9,61.1,52.2,1,55.5,49.2,19.1,42.7,2025-06-30
29785,29785,Office,37.6,68.1,37.2,61.1,31.5,79.8,46.8,37.1,33.8,57.9,80.8,0,84.1,88.9,57.4,82.3,2025-06-30
29786,29786,Home,74.4,83.8,79.8,65.0,78.7,68.9,22.9,62.1,46.5,56.0,41.2,0,22.2,74.1,42.1,62.3,2025-06-30
29787,29787,Home,15.3,70.4,50.6,17.8,67.0,66.5,54.6,67.9,11.6,36.1,29.0,0,66.4,73.7,12.0,71.0,2025-06-30
29788,29788,Hybrid,70.2,51.4,39.7,75.1,52.0,55.4,73.3,48.8,57.9,71.1,35.0,0,65.3,55.8,82.3,44.3,2025-06-30
29789,29789,Field,36.9,84.1,12.5,0.0,75.9,41.2,48.3,91.9,15.8,26.9,31.3,1,74.2,65.8,87.3,44.3,2025-06-30
29790,29790,Hybrid,39.5,64.2,42.2,65.6,11.4,45.0,42.4,39.7,51.7,65.8,21.5,1,32.4,53.0,0.0,41.3,2025-06-30
29791,29791,Hybrid,33.4,89.5,59.0,64.6,63.9,66.4,28.1,67.3,5.0,52.0,56.0,1,47.7,90.9,47.4,70.6,2025-06-30
29792,29792,Hybrid,20.0,94.3,74.5,48.5,80.4,40.0,59.3,55.9,24.6,49.1,77.3,0,82.6,38.1,73.2,52.0,2025-06-30
29793,29793,Home,37.7,53.4,84.7,37.8,57.5,65.9,50.1,76.9,54.1,68.8,56.2,1,20.1,58.5,24.9,44.9,2025-06-30
29794,29794,Office,10.0,89.0,79.9,54.6,96.6,64.0,58.9,61.7,44.4,76.8,6.9,0,65.4,44.0,23.6,28.8,2025-06-30
29795,29795,Home,61.1,41.2,33.6,33.4,47.1,64.2,47.6,40.4,40.6,27.8,37.5,1,47.5,63.6,64.5,67.2,2025-06-30
29796,29796,Factory,83.6,56.8,53.8,28.8,51.9,40.0,45.4,61.3,6.5,55.0,39.3,1,87.3,75.3,83.7,68.1,2025-06-30
29797,29797,Outdoor,75.2,28.9,34.8,72.9,48.8,56.1,67.8,53.2,25.4,60.4,46.5,1,66.8,56.1,27.8,55.6,2025-06-30
29798,29798,Hybrid,63.4,40.5,54.7,0.0,59.1,66.1,24.6,84.6,39.3,96.0,48.2,0,64.4,78.5,42.9,64.4,2025-06-30
29799,29799,Remote,49.4,97.4,45.7,41.1,75.6,78.4,75.2,50.7,38.6,51.7,46.8,0,29.6,71.2,27.3,73.8,2025-06-30
29800,29800,Home,23.0,84.0,34.2,42.5,91.5,69.3,49.8,50.1,57.2,83.4,36.5,0,51.6,64.8,46.3,51.4,2025-06-30
29801,29801,Field,61.4,65.8,65.3,46.1,58.1,76.3,53.0,38.3,50.1,67.4,37.2,1,94.2,67.6,39.3,56.2,2025-06-30
29802,29802,Factory,44.2,10.3,58.1,74.1,32.6,48.1,31.3,41.3,57.4,54.5,33.2,0,62.1,100.0,46.2,85.3,2025-06-30
29803,29803,Field,24.1,48.3,23.0,40.7,50.8,66.3,53.3,23.3,54.6,53.5,73.1,0,16.5,53.4,20.6,59.4,2025-06-30
29804,29804,Home,40.8,31.6,50.0,44.0,81.6,72.2,36.2,31.3,38.8,59.8,59.0,0,33.7,68.7,71.0,48.4,2025-06-30
29805,29805,Remote,41.5,39.0,27.3,76.6,64.8,49.4,77.2,72.5,7.1,62.5,82.8,0,52.1,41.0,26.5,36.2,2025-06-30
29806,29806,Outdoor,66.0,4.6,61.7,67.9,43.5,66.1,55.4,42.2,45.2,66.7,37.8,0,39.4,68.7,38.2,68.0,2025-06-30
29807,29807,Field,12.5,62.1,44.6,66.0,37.4,73.9,40.2,10.7,48.4,68.1,37.7,1,44.8,58.5,25.2,67.1,2025-06-30
29808,29808,Outdoor,60.5,51.6,59.4,29.4,60.4,96.1,59.1,6.0,4.8,65.7,31.7,0,39.9,19.0,50.8,40.5,2025-06-30
29809,29809,Field,46.5,25.4,51.0,30.1,32.6,67.7,39.5,61.6,23.4,80.0,74.4,0,35.9,74.0,57.1,69.6,2025-06-30
29810,29810,Field,56.0,85.1,69.6,24.7,59.6,54.0,7.8,53.2,30.1,39.2,24.9,1,71.7,79.3,38.7,75.1,2025-06-30
29811,29811,Factory,84.0,36.0,31.9,44.1,68.2,84.1,41.7,90.3,38.5,42.0,18.4,0,54.6,74.9,58.0,69.9,2025-06-30
29812,29812,Factory,86.1,35.6,40.0,60.5,68.9,40.5,34.1,56.6,45.7,74.3,45.7,0,15.0,26.1,82.3,20.8,2025-06-30
29813,29813,Remote,46.6,55.6,51.4,0.0,61.1,39.4,56.3,64.4,30.8,5.0,78.2,0,0.0,64.7,67.5,62.1,2025-06-30
29814,29814,Office,21.6,51.4,76.4,64.9,29.7,60.2,52.6,30.0,49.0,73.2,26.4,0,71.1,54.3,38.8,57.5,2025-06-30
29815,29815,Field,44.0,29.3,64.9,62.7,50.1,44.9,35.4,62.3,3.5,39.6,22.5,1,25.4,68.2,79.0,56.8,2025-06-30
29816,29816,Field,28.8,66.8,49.9,37.2,35.1,74.1,64.5,59.6,35.3,63.1,49.5,0,45.0,50.1,23.2,57.8,2025-06-30
29817,29817,Home,58.9,21.3,22.9,25.3,32.9,40.8,52.7,37.4,27.2,26.3,60.7,1,60.6,76.1,73.7,56.8,2025-06-30
29818,29818,Hybrid,65.4,73.4,38.1,24.2,61.9,45.6,77.1,48.9,31.8,34.7,31.4,1,0.0,100.0,42.7,55.8,2025-06-30
29819,29819,Home,46.9,94.9,36.4,76.2,79.1,33.1,27.3,67.4,34.3,57.6,36.0,0,71.0,58.5,91.0,50.3,2025-06-30
29820,29820,Office,32.2,57.1,51.9,34.2,43.9,65.3,21.3,72.7,37.0,60.7,6.2,1,100.0,72.2,34.5,73.8,2025-06-30
29821,29821,Home,82.3,43.4,49.2,10.6,38.2,73.6,58.0,71.4,68.8,55.4,41.8,0,60.5,80.4,57.1,61.3,2025-06-30
29822,29822,Office,70.5,31.7,69.0,17.7,47.3,54.2,70.5,81.4,55.3,48.4,68.5,0,59.0,97.9,34.2,85.8,2025-06-30
29823,29823,Factory,64.2,78.3,60.7,45.6,67.8,79.6,76.6,92.8,29.2,48.5,54.1,0,25.0,80.8,61.7,66.0,2025-06-30
29824,29824,Factory,17.2,73.2,80.3,61.6,41.4,74.6,21.3,32.1,43.1,57.2,17.4,0,59.5,91.1,46.3,52.3,2025-06-30
29825,29825,Home,28.8,67.7,24.9,12.6,57.9,65.6,50.6,9.8,10.1,90.1,12.1,0,50.9,49.7,26.1,38.0,2025-06-30
29826,29826,Hybrid,29.7,33.8,56.8,67.4,27.2,51.6,70.4,66.2,34.8,75.5,40.2,0,56.3,51.9,35.1,35.3,2025-06-30
29827,29827,Hybrid,45.2,41.2,40.5,60.2,57.1,55.6,34.6,31.6,21.5,53.5,27.9,1,23.9,81.7,52.9,72.6,2025-06-30
29828,29828,Factory,27.8,77.0,63.1,29.6,58.0,44.2,97.5,62.5,23.2,74.4,72.5,1,49.4,31.6,58.9,50.9,2025-06-30
29829,29829,Field,57.8,84.8,50.3,0.0,62.5,68.8,87.7,8.9,23.7,46.5,51.5,0,35.5,53.1,89.0,38.8,2025-06-30
29830,29830,Office,31.4,21.3,46.3,5.3,81.5,67.2,37.8,66.8,47.4,96.2,40.4,0,55.0,24.7,35.5,44.3,2025-06-30
29831,29831,Remote,61.3,67.0,83.2,51.9,94.0,49.2,38.0,68.7,48.9,76.3,69.5,0,43.3,70.9,55.0,62.8,2025-06-30
29832,29832,Office,77.9,71.3,52.3,59.8,51.5,88.8,53.7,64.4,30.3,62.3,18.5,0,46.4,64.0,71.7,63.6,2025-06-30
29833,29833,Home,43.0,54.7,30.5,67.3,66.9,48.6,51.1,39.6,25.1,50.1,23.1,1,15.5,69.6,87.2,56.4,2025-06-30
29834,29834,Hybrid,21.3,85.4,67.1,29.0,40.5,83.1,87.0,72.8,69.2,59.6,35.1,1,44.1,84.2,69.9,75.5,2025-06-30
29835,29835,Hybrid,56.8,35.4,55.4,30.7,59.8,57.8,44.8,54.5,29.9,76.0,25.0,1,55.7,100.0,0.0,57.6,2025-06-30
29836,29836,Hybrid,59.0,44.4,43.6,61.1,43.8,81.4,62.0,46.9,14.8,47.9,34.5,1,4.4,50.5,39.9,48.9,2025-06-30
29837,29837,Factory,64.6,85.0,38.2,68.3,80.8,65.2,89.8,63.9,32.9,50.1,20.5,1,73.5,59.7,71.8,62.9,2025-06-30
29838,29838,Remote,67.3,69.4,49.7,34.3,73.8,51.3,60.9,49.0,22.9,100.0,75.5,0,22.1,42.0,26.2,53.6,2025-06-30
29839,29839,Factory,79.6,17.6,35.0,55.2,100.0,58.0,30.9,30.0,0.0,66.9,78.5,1,75.6,26.7,66.8,23.2,2025-06-30
29840,29840,Hybrid,71.5,46.7,63.5,40.6,48.8,83.0,64.8,67.5,48.6,65.8,55.0,0,7.7,7.3,29.2,13.7,2025-06-30
29841,29841,Outdoor,68.7,35.7,74.5,56.7,51.5,71.8,36.4,52.1,47.3,54.6,63.6,0,0.9,45.3,42.5,33.5,2025-06-30
29842,29842,Hybrid,54.3,45.5,56.3,35.5,46.5,72.4,46.1,62.8,21.0,52.6,27.4,0,33.7,46.1,83.8,60.3,2025-06-30
